Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
28,Reminds Me Of You,Juice WRLD,2957522,1,January,2021,3360158,houston rap,89,85,171067,Good News,17,2020-11-20,0.0166,0.914,0.732,0.0,8,0.107,-6.1,0,0.241,94.066,4,0.469
29,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2947806,1,January,2021,15906329,chicago rap,98,87,194621,Legends Never Die,22,2020-07-10,0.00336,0.65,0.613,0.0,9,0.267,-6.13,0,0.128,149.972,4,0.0804
30,champagne problems,Taylor Swift,2875906,1,January,2021,136700,memphis hip hop,79,79,184489,Back In Blood (feat. Lil Durk),1,2020-11-06,0.151,0.759,0.538,0.0,8,0.126,-8.256,0,0.384,146.933,4,0.831
31,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,2861265,1,January,2021,42492747,canadian pop,96,91,190779,Anyone,1,2021-01-01,0.181,0.686,0.538,3.13e-06,2,0.113,-8.026,1,0.0345,115.884,4,0.584
32,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,2858702,1,January,2021,15906329,chicago rap,98,86,165819,Goodbye & Good Riddance,17,2018-12-10,0.0769,0.671,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203
33,Watermelon Sugar,Harry Styles,2840470,1,January,2021,15906329,chicago rap,98,85,157355,Bad Boy (with Young Thug),1,2021-01-15,0.00215,0.697,0.674,0.0,1,0.138,-6.326,1,0.0533,81.535,4,0.198
34,The Box,Roddy Ricch,2810078,1,January,2021,1196210,dance pop,85,91,169265,you broke me first,1,2020-04-17,0.786,0.642,0.374,0.0,4,0.0906,-9.386,1,0.0545,124.099,4,0.0799
35,Circles,Post Malone,2804775,1,January,2021,5873404,north carolina hip hop,94,89,181733,BLAME IT ON BABY,13,2020-04-17,0.247,0.746,0.69,0.0,11,0.101,-7.956,1,0.164,89.977,4,0.497
36,you broke me first,Tate McRae,2783099,1,January,2021,3360158,houston rap,89,82,137983,Good News,17,2020-11-20,0.00402,0.957,0.437,0.0,11,0.219,-7.882,1,0.359,130.058,4,0.616
37,my exs best friend (with blackbear),Machine Gun Kelly,2773001,1,January,2021,3132058,chicago rap,89,76,116255,GNF (OKOKOK),1,2021-02-05,0.659,0.753,0.659,0.0,8,0.098,-9.671,1,0.416,146.022,4,0.459
