Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
25,GFLOW,Z.E,446652,1,January,2020,115609.0,swedish gangsta rap,61.0,51.0,152000.0,Trilogin,3.0,2020-09-09,0.0348,0.862,0.653,0.000111,1.0,0.115,-9.047,1.0,0.126,129.998,4.0,0.602
26,"Rosa himmel (från ""Störst av allt"")",Molly Sandén,419174,1,January,2020,215281.0,europop,67.0,61.0,190718.0,"Rosa himmel (från ""Störst av allt"")",1.0,2019-04-05,0.981,0.479,0.0983,0.00692,2.0,0.0987,-11.794,1.0,0.0408,141.83,4.0,0.243
27,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,407946,1,January,2020,140592.0,swedish idol pop,70.0,53.0,228746.0,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",1.0,2019-11-15,0.452,0.634,0.36,0.0,0.0,0.175,-9.509,1.0,0.0792,155.888,4.0,0.518
28,SOS (feat. Aloe Blacc),Avicii,401299,1,January,2020,19076982.0,dance pop,86.0,75.0,157202.0,TIM,12.0,2019-06-06,0.272,0.802,0.645,0.0,5.0,0.119,-6.181,0.0,0.0715,100.001,4.0,0.376
29,Tillfälligheter,Veronica Maggio,399691,1,January,2020,457692.0,classic swedish pop,65.0,58.0,227600.0,Fiender är tråkigt,10.0,2019-09-27,0.574,0.632,0.682,0.000105,5.0,0.188,-8.584,1.0,0.0441,129.911,4.0,0.588
30,Señorita,Shawn Mendes,395477,1,January,2020,31472357.0,canadian pop,91.0,1.0,190960.0,Best of 2020 Italia Pop Hits,57.0,2021-02-19,0.037,0.759,0.54,0.0,9.0,0.0945,-6.039,0.0,0.0287,116.947,4.0,0.75
31,Some Say,Nea,386313,1,January,2020,33016.0,scandipop,75.0,80.0,186878.0,Some Say (Felix Jaehn Remix),1.0,2020-01-10,0.406,0.682,0.7,0.0,6.0,0.174,-5.591,1.0,0.0397,120.03,4.0,0.637
32,Apoteket,Greekazo,385816,1,January,2020,52084.0,swedish gangsta rap,60.0,45.0,143529.0,Apoteket,1.0,2019-12-01,0.346,0.93,0.547,3.81e-06,1.0,0.207,-8.285,0.0,0.159,102.031,4.0,0.779
33,WLIT,Yasin,381915,1,January,2020,108669.0,swedish gangsta rap,72.0,43.0,219764.0,Handen Under Mona Lisas Kjol (PT:1),6.0,2019-12-25,0.355,0.914,0.473,0.0,5.0,0.0636,-11.152,0.0,0.382,113.926,4.0,0.497
34,Shallow,Lady Gaga,375785,1,January,2020,16219580.0,dance pop,90.0,84.0,215733.0,A Star Is Born Soundtrack,34.0,2018-10-05,0.371,0.572,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
35,Bra för dig,estraden,374417,1,January,2020,20701.0,swedish pop,59.0,56.0,226997.0,Bra för dig,1.0,2019-08-30,0.0851,0.53,0.546,0.0,5.0,0.0519,-5.316,1.0,0.0338,156.022,4.0,0.255
36,I Dont Care (with Justin Bieber),Ed Sheeran,371682,1,January,2020,76392725.0,pop,94.0,81.0,219946.0,I Don't Care (with Justin Bieber),1.0,2019-05-10,0.0912,0.798,0.675,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,0.842
37,Before You Go,Lewis Capaldi,362125,1,January,2020,6984857.0,pop,87.0,84.0,215106.0,Divinely Uninspired To A Hellish Extent (Extended Edition),15.0,2019-11-22,0.604,0.459,0.575,0.0,3.0,0.0885,-4.858,1.0,0.0573,111.881,4.0,0.183
38,Alla våra smeknamn,Molly Sandén,351355,1,January,2020,215281.0,europop,67.0,50.0,189493.0,Det bästa kanske inte hänt än,10.0,2019-05-29,0.271,0.755,0.536,2.25e-06,6.0,0.145,-7.696,1.0,0.0941,114.889,4.0,0.338
39,TOP CLASS,Dree Low,346255,1,January,2020,120451.0,swedish gangsta rap,69.0,51.0,146787.0,TOP CLASS,1.0,2019-11-12,0.172,0.83,0.691,0.0,7.0,0.0994,-6.216,1.0,0.126,109.992,4.0,0.604
40,RÄKNA MINA DAGAR,1.Cuz,339242,1,January,2020,65014.0,swedish gangsta rap,60.0,50.0,206197.0,1 ÅR,8.0,2019-11-29,0.156,0.885,0.662,0.0,0.0,0.201,-8.518,0.0,0.0511,142.067,4.0,0.961
41,Happy New Year,ABBA,331117,1,January,2020,5310418.0,europop,82.0,58.0,263693.0,Super Trouper,12.0,1980,0.813,0.51,0.375,0.0,9.0,0.145,-9.185,1.0,0.0288,132.552,4.0,0.25
42,Adore You,Harry Styles,324001,1,January,2020,12794127.0,pop,91.0,85.0,207133.0,Fine Line,12.0,2019-12-13,0.0237,0.676,0.771,7e-06,8.0,0.102,-3.675,1.0,0.0483,99.048,4.0,0.569
43,My Oh My (feat. DaBaby),Camila Cabello,323456,1,January,2020,20069259.0,dance pop,86.0,79.0,170746.0,Romance,14.0,2019-12-06,0.018,0.724,0.491,1.29e-05,8.0,0.0887,-6.024,1.0,0.0296,105.046,4.0,0.383
44,TRIANGELDRAMA,Robbz x Brookz,322095,1,January,2020,5656.0,swedish hip hop,46.0,50.0,232012.0,TRIANGELDRAMA,1.0,2019-12-03,0.468,0.746,0.679,0.0,5.0,0.207,-6.982,1.0,0.435,150.024,4.0,0.544
45,Lose You To Love Me,Selena Gomez,318692,1,January,2020,25276814.0,dance pop,90.0,82.0,206458.0,Rare,13.0,2020-01-10,0.556,0.488,0.343,0.0,4.0,0.21,-8.985,1.0,0.0436,102.819,4.0,0.0978
46,DAG HAMMARSKJÖLD,Dree Low,315843,1,January,2020,120451.0,swedish gangsta rap,69.0,56.0,181176.0,FLAWLESS,13.0,2019-09-01,0.657,0.796,0.548,0.0,3.0,0.12,-8.639,0.0,0.0523,102.001,4.0,0.684
47,Beautiful People (feat. Khalid),Ed Sheeran,312592,1,January,2020,76392725.0,pop,94.0,80.0,197866.0,Beautiful People (feat. Khalid),1.0,2019-06-28,0.124,0.64,0.648,0.0,5.0,0.0802,-8.113,0.0,0.187,92.977,4.0,0.548
48,DANCE,CLMD,302389,1,January,2020,26575.0,norwegian pop,63.0,68.0,174448.0,DANCE,1.0,2019-10-18,0.0263,0.766,0.548,1.81e-06,7.0,0.21,-7.834,1.0,0.0373,122.012,4.0,0.552
49,Då börjar fåglar sjunga,Miss Li,301382,1,January,2020,135639.0,classic swedish pop,70.0,50.0,192918.0,Då börjar fåglar sjunga,1.0,2019-11-09,0.00277,0.71,0.676,0.00512,11.0,0.0334,-7.008,0.0,0.0392,97.998,4.0,0.429
50,Higher Love,Kygo,299932,1,January,2020,7177597.0,edm,87.0,80.0,228267.0,Higher Love,1.0,2019-06-28,0.0154,0.693,0.678,6.05e-06,8.0,0.101,-7.159,1.0,0.0324,103.952,4.0,0.404
51,Branschen - Recorded at Spotify Studios Stockholm,Z.E,298130,1,January,2020,115609.0,swedish gangsta rap,61.0,46.0,160551.0,Studio 100,1.0,2019-11-21,0.293,0.834,0.642,1.93e-05,10.0,0.127,-4.817,0.0,0.104,145.05,4.0,0.703
52,Härifrån,Dizzy,294190,1,January,2020,15036.0,swedish gangsta rap,55.0,51.0,190909.0,Härifrån,1.0,2019-10-11,0.34,0.791,0.439,0.0,4.0,0.225,-9.855,0.0,0.17,131.963,4.0,0.532
53,Without You (feat. Sandro Cavazza),Avicii,292938,1,January,2020,19076982.0,dance pop,86.0,76.0,181672.0,AVĪCI (01),6.0,2017-08-10,0.00163,0.662,0.858,0.0,2.0,0.0456,-4.844,1.0,0.0428,133.993,4.0,0.295
54,Ride It,Regard,292637,1,January,2020,119232.0,edm,79.0,85.0,157605.0,Ride It,1.0,2019-07-26,0.177,0.88,0.751,6.43e-05,7.0,0.106,-4.258,0.0,0.0874,117.948,4.0,0.884
55,Roses - Imanbek Remix,SAINt JHN,279789,1,January,2020,655217.0,melodic rap,82.0,74.0,176867.0,While The World Was Burning,14.0,2020-11-20,0.0143,0.769,0.719,0.00777,8.0,0.359,-5.472,1.0,0.0474,121.955,4.0,0.863
56,Wake Me Up,Avicii,279030,1,January,2020,19076982.0,dance pop,86.0,83.0,247426.0,True,10.0,2013-01-01,0.0038,0.532,0.783,0.0012,2.0,0.161,-5.697,1.0,0.0523,124.08,4.0,0.643
57,HIGHEST IN THE ROOM,Travis Scott,277636,1,January,2020,15226630.0,rap,95.0,86.0,175720.0,HIGHEST IN THE ROOM,1.0,2019-10-04,0.0546,0.598,0.427,5.83e-06,7.0,0.21,-8.764,0.0,0.0317,76.469,4.0,0.0605
58,Drip 2 Hard,Einár,272613,1,January,2020,161953.0,swedish gangsta rap,69.0,47.0,150000.0,Drip 2 Hard,1.0,2019-11-07,0.395,0.737,0.619,0.0,5.0,0.115,-6.59,0.0,0.295,173.112,4.0,0.584
59,Säg mig var du står,Little Jinder,272228,1,January,2020,17957.0,electropop,45.0,49.0,226000.0,Säg mig var du står,1.0,2019-11-30,0.0339,0.669,0.868,0.0112,2.0,0.214,-6.762,1.0,0.0368,120.015,4.0,0.207
