Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1,The Box,Roddy Ricch,18952305,1,January,2020,52998758.0,canadian hip hop,98.0,81.0,247058.0,Toosie Slide,1.0,2020-04-03,0.321,0.834,0.454,6.15e-06,1.0,0.114,-9.75,0.0,0.201,81.618,4.0,0.837
2,ROXANNE,Arizona Zervas,9671478,1,January,2020,5516506.0,melodic rap,89.0,87.0,196652.0,Please Excuse Me For Being Antisocial,16.0,2019-12-06,0.104,0.896,0.586,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,4.0,0.642
3,Yummy,Justin Bieber,9648561,1,January,2020,29076261.0,canadian contemporary r&b,98.0,95.0,200040.0,After Hours,14.0,2020-03-20,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,4.0,0.334
4,Circles,Post Malone,8244725,1,January,2020,3348755.0,melodic rap,84.0,82.0,162546.0,Blueberry Faygo,1.0,2020-02-07,0.207,0.774,0.554,0.0,0.0,0.132,-7.909,1.0,0.0383,99.034,4.0,0.349
5,BOP,DaBaby,7985170,1,January,2020,5883624.0,north carolina hip hop,94.0,69.0,139890.0,BLAME IT ON BABY,13.0,2020-04-17,0.187,0.836,0.624,0.0,4.0,0.138,-6.75,0.0,0.184,103.0,4.0,0.7
6,Falling,Trevor Daniel,7503297,1,January,2020,655217.0,melodic rap,82.0,74.0,176867.0,While The World Was Burning,14.0,2020-11-20,0.0143,0.769,0.719,0.00777,8.0,0.359,-5.472,1.0,0.0474,121.955,4.0,0.863
7,Dance Monkey,Tones And I,6986158,1,January,2020,22872548.0,dance pop,95.0,83.0,183290.0,Don't Start Now,1.0,2019-10-31,0.0125,0.794,0.793,0.0,11.0,0.0952,-4.521,0.0,0.0842,123.941,4.0,0.677
8,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6938158,1,January,2020,715334.0,deep underground hip hop,86.0,83.0,227478.0,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",1.0,2020-06-24,0.0631,0.904,0.723,0.0,11.0,0.185,-5.224,0.0,0.26,145.013,4.0,0.835
9,Futsal Shuffle 2020,Lil Uzi Vert,6802710,1,January,2020,5359437.0,dance pop,91.0,84.0,237893.0,Hot Pink,12.0,2019-11-07,0.256,0.787,0.673,3.57e-06,11.0,0.0904,-4.577,0.0,0.158,110.962,4.0,0.786
10,everything i wanted,Billie Eilish,6181388,1,January,2020,3367967.0,houston rap,89.0,76.0,242000.0,Savage Remix (feat. Beyoncé),1.0,2020-04-29,0.016,0.822,0.743,0.0,10.0,0.127,-4.772,0.0,0.28,84.459,4.0,0.636
11,Ballin (with Roddy Ricch),Mustard,6166618,1,January,2020,796021.0,sad rap,81.0,87.0,173333.0,death bed (coffee for your head),1.0,2020-02-08,0.731,0.726,0.431,0.0,8.0,0.696,-8.765,0.0,0.135,144.026,4.0,0.348
12,Blinding Lights,The Weeknd,6093807,1,January,2020,2367793.0,canadian hip hop,86.0,72.0,161377.0,Turks,1.0,2020-03-27,0.0827,0.893,0.618,0.0,7.0,0.542,-4.425,0.0,0.112,119.099,4.0,0.389
13,Adore You,Harry Styles,5918797,1,January,2020,42521376.0,canadian pop,96.0,80.0,212866.0,Changes,17.0,2020-02-14,0.3,0.806,0.546,0.0,9.0,0.102,-6.637,1.0,0.0575,147.986,4.0,0.874
14,Suicidal,YNW Melly,5880355,1,January,2020,9879245.0,atl hip hop,91.0,83.0,237735.0,Life Is Good (feat. Drake),1.0,2020-01-10,0.0706,0.676,0.609,0.0,2.0,0.152,-5.831,0.0,0.481,142.037,4.0,0.508
15,My Oh My (feat. DaBaby),Camila Cabello,5680153,1,January,2020,5516506.0,melodic rap,89.0,79.0,220486.0,Please Excuse Me For Being Antisocial,16.0,2019-12-06,0.269,0.831,0.499,0.0,11.0,0.3,-8.442,0.0,0.114,97.956,4.0,0.511
