,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",10092329,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"All I Want for Christmas Is You","Mariah Carey",9806687,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,ROXANNE,"Arizona Zervas",9691192,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,"Rockin' Around The Christmas Tree","Brenda Lee",8624106,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
5,"Jingle Bell Rock","Bobby Helms",8361420,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
6,"Futsal Shuffle 2020","Lil Uzi Vert",7959941,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
7,Circles,"Post Malone",7519188,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"It's the Most Wonderful Time of the Year","Andy Williams",7373863,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
9,Falling,"Trevor Daniel",7180944,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",7070611,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
11,BOP,DaBaby,7029005,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
12,"Last Christmas",Wham!,7019716,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
13,"Santa Tell Me","Ariana Grande",6859985,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
14,"The Christmas Song (Merry Christmas To You)","Nat King Cole",6820259,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
15,"A Holly Jolly Christmas - Single Version","Burl Ives",6266059,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
16,"Adore You","Harry Styles",6175364,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
17,"HIGHEST IN THE ROOM","Travis Scott",5990239,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
18,"It's Beginning to Look a Lot like Christmas","Michael Bublé",5960157,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
19,"Dance Monkey","Tones And I",5887468,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",5761121,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
21,"Holly Jolly Christmas","Michael Bublé",5602917,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
22,"everything i wanted","Billie Eilish",5597652,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
23,"White Christmas","Bing Crosby",5573038,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
24,"Feliz Navidad","José Feliciano",5552799,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
25,Mistletoe,"Justin Bieber",5520221,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
26,"Watermelon Sugar","Harry Styles",5152495,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"Ballin' (with Roddy Ricch)",Mustard,5106482,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
28,"Christmas (Baby Please Come Home)","Darlene Love",4937313,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
29,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",4931793,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
30,"Lucid Dreams","Juice WRLD",4930406,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
31,"Blinding Lights","The Weeknd",4905836,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
32,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",4874096,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
33,Heartless,"The Weeknd",4852319,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
34,"Do They Know It's Christmas? - 1984 Version","Band Aid",4828596,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
35,"Blue Christmas","Elvis Presley",4735821,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
36,"My Oh My (feat. DaBaby)","Camila Cabello",4714877,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
37,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",4714134,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
38,"Someone You Loved","Lewis Capaldi",4603582,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
39,Suicidal,"YNW Melly",4601276,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
40,"Underneath the Tree","Kelly Clarkson",4591039,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
41,"Run Rudolph Run - Single Version","Chuck Berry",4498397,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
42,"Santa Claus Is Coming To Town","The Jackson 5",4483031,https://open.spotify.com/track/4rMWDm28mERZcRPc1f3yir
43,"hot girl bummer",blackbear,4482839,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
44,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4474150,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
45,Robbery,"Juice WRLD",4463201,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
46,"No Idea","Don Toliver",4319260,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
47,Ransom,"Lil Tecca",4011719,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
48,"Don't Start Now","Dua Lipa",3973162,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
49,Memories,"Maroon 5",3968950,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
50,"bad guy","Billie Eilish",3881933,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
51,Suge,DaBaby,3876378,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
52,Falling,"Harry Styles",3844121,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
53,"223's (feat. 9lokknine)","YNW Melly",3801581,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
54,Woah,"Lil Baby",3760017,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
55,"Christmas (Baby Please Come Home)","Mariah Carey",3718140,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
56,"Lose You To Love Me","Selena Gomez",3655843,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
57,"I Saw Mommy Kissing Santa Claus","The Jackson 5",3638227,https://open.spotify.com/track/0vmANNClszGQZ0FISySK61
58,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",3618671,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
59,"Baby, It's Cold Outside","Dean Martin",3590800,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
60,VIBEZ,DaBaby,3576586,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
61,"Hop Off A Jet (feat. Travis Scott)","Young Thug",3466094,https://open.spotify.com/track/3RZftiuTcLOqpsd8ZlwNhr
62,"Have Yourself A Merry Little Christmas","Sam Smith",3443754,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
63,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",3441127,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
64,"Truth Hurts",Lizzo,3411735,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
65,"Like It's Christmas","Jonas Brothers",3408308,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv
66,"Winter Wonderland","Bing Crosby",3394757,https://open.spotify.com/track/5VEuraNSVxMTzDTtrmL3lQ
67,"Mistletoe And Holly - Remastered 1999","Frank Sinatra",3354079,https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ
68,"Let Me Know (I Wonder Why Freestyle)","Juice WRLD",3344348,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
69,"Sleigh Ride","The Ronettes",3342151,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
70,"Lights Up","Harry Styles",3316329,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
71,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",3315502,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
72,"Joy To The World","Nat King Cole",3295277,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu
73,Legends,"Juice WRLD",3284768,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
74,"All Girls Are The Same","Juice WRLD",3282968,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
75,"Do You Hear What I Hear?","Bing Crosby",3257903,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH
76,"This Christmas","Donny Hathaway",3207777,https://open.spotify.com/track/7MSYSOobsombc1mbDWFxtD
77,"Money In The Grave (Drake ft. Rick Ross)",Drake,3207040,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
78,"Stuck In A Dream (feat. Gunna)","Lil Mosey",3190917,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
79,"No Guidance (feat. Drake)","Chris Brown",3183244,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
80,"Carol of the Bells","Mykola Dmytrovych Leontovych",3177463,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
81,"Santa Baby","Ariana Grande",3145156,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb
