,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",18516701,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road","Lil Nas X",12953835,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
3,"wish you were gay","Billie Eilish",11595540,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
4,"bury a friend","Billie Eilish",9743807,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
5,"when the party's over","Billie Eilish",9024389,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9013744,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
7,xanny,"Billie Eilish",8959348,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
8,"all the good girls go to hell","Billie Eilish",8701017,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
9,"MIDDLE CHILD","J. Cole",8668475,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
10,"my strange addiction","Billie Eilish",8197752,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
11,"you should see me in a crown","Billie Eilish",8131854,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
12,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",7398540,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
13,"Murder On My Mind","YNW Melly",7357739,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
14,Wow.,"Post Malone",7352330,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
15,"7 rings","Ariana Grande",7226775,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
16,"Going Bad (feat. Drake)","Meek Mill",7042212,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
17,"i love you","Billie Eilish",6810833,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
18,ilomilo,"Billie Eilish",6777872,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
19,Sucker,"Jonas Brothers",6581575,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
20,"listen before i go","Billie Eilish",6375640,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
21,"break up with your girlfriend, i'm bored","Ariana Grande",5978831,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
22,Robbery,"Juice WRLD",5975912,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
23,8,"Billie Eilish",5857341,https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r
24,"Mixed Personalities (feat. Kanye West)","YNW Melly",5833416,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
25,"Pure Water (with Migos)",Mustard,5823815,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
26,"a lot","21 Savage",5111802,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
27,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",4902110,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
28,Talk,Khalid,4573073,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
29,goodbye,"Billie Eilish",4567473,https://open.spotify.com/track/3LgWsmilsrWXiPYQFRD0T7
30,"Faucet Failure","Ski Mask The Slump God",4458224,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
31,Thotiana,Blueface,4420110,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
32,"SICKO MODE","Travis Scott",4346452,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,"thank u, next","Ariana Grande",4283732,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
34,"Without Me",Halsey,4279322,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
35,"Look Back at It","A Boogie Wit da Hoodie",4242388,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
36,Happier,Marshmello,4183150,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
37,"Envy Me",Calboy,4125970,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
38,"My Bad",Khalid,4114191,https://open.spotify.com/track/1DUSuNhF8P5vUGNPpQiZa5
39,"Here With Me",Marshmello,3976421,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
40,Better,Khalid,3972727,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
41,lovely,"Billie Eilish",3870295,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
42,"Lucid Dreams","Juice WRLD",3839642,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
43,"Dancing With A Stranger (with Normani)","Sam Smith",3836296,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
44,"Please Me","Cardi B",3775977,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
45,I,"Lil Skies",3773875,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
46,"Eastside (with Halsey & Khalid)","benny blanco",3661833,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
47,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",3659331,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
48,Shallow,"Lady Gaga",3651500,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
49,"Mo Bamba","Sheck Wes",3507126,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
50,"Better Now","Post Malone",3486909,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
51,"Let Me Down Slowly","Alec Benjamin",3485767,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
52,"MONOPOLY (with Victoria Monét)","Ariana Grande",3431888,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
53,Splashin,"Rich The Kid",3373435,https://open.spotify.com/track/3KLo7ByvjCNyBrfz5DZ2mO
54,SAD!,XXXTENTACION,3300010,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
55,"Saturday Nights",Khalid,3259322,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
56,"i'm so tired...",Lauv,3181936,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
57,"Wake Up in the Sky","Gucci Mane",3158955,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
58,"Racks in the Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle",3146928,https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp
59,Fast,"Juice WRLD",2976955,https://open.spotify.com/track/6MjNilJCVKJq0LfFvo5jWJ
60,Moonlight,XXXTENTACION,2971187,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
61,"Leave Me Alone","Flipp Dinero",2964864,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
