,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",14218045,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"bad guy","Billie Eilish",10622252,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",10530838,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"Homicide (feat. Eminem)",Logic,9105962,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
5,"If I Can't Have You","Shawn Mendes",8425599,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
6,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7713604,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
7,"Truth Hurts",Lizzo,7414311,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
8,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",6553789,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
9,"Talk (feat. Disclosure)",Khalid,6504638,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
10,Suge,DaBaby,6462100,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
11,"MIDDLE CHILD","J. Cole",6306081,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
12,"Old Town Road","Lil Nas X",5927052,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
13,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",5647658,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
14,"Pop Out (feat. Lil Tjay)","Polo G",5623325,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
15,Wow.,"Post Malone",5443962,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
16,"Sanguine Paradise","Lil Uzi Vert",5364699,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
17,Sucker,"Jonas Brothers",5326697,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
18,"7 rings","Ariana Grande",4980869,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
19,"Going Bad (feat. Drake)","Meek Mill",4853272,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
20,Paradise,Bazzi,4830826,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
21,"Murder On My Mind","YNW Melly",4760438,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
22,"Pure Water (with Migos)",Mustard,4628282,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
23,"when the party's over","Billie Eilish",4470989,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
24,SOS,Avicii,4436020,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
25,"Envy Me",Calboy,4354658,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
26,Robbery,"Juice WRLD",4341666,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
27,"bury a friend","Billie Eilish",4308115,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
28,"wish you were gay","Billie Eilish",3893323,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
29,"break up with your girlfriend, i'm bored","Ariana Grande",3867375,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
30,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",3851034,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
31,"Boy With Luv (feat. Halsey)",BTS,3837147,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
32,Better,Khalid,3827602,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
33,"Without Me",Halsey,3714420,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
34,"Mixed Personalities (feat. Kanye West)","YNW Melly",3691036,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
35,"lovely (with Khalid)","Billie Eilish",3558408,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
36,"SICKO MODE","Travis Scott",3426522,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
37,"Eastside (with Halsey & Khalid)","benny blanco",3401788,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
38,"Lucid Dreams","Juice WRLD",3371115,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
