,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",13813505,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh
2,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",11722976,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
3,"bad guy","Billie Eilish",10061020,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
4,"Old Town Road","Lil Nas X",7862873,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7716073,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"Talk (feat. Disclosure)",Khalid,6908184,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
7,"Sanguine Paradise","Lil Uzi Vert",6726365,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
8,"MIDDLE CHILD","J. Cole",6697172,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
9,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",6265369,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
10,Wow.,"Post Malone",5667287,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
11,"Murder On My Mind","YNW Melly",5439653,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
12,"Going Bad (feat. Drake)","Meek Mill",5432444,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
13,"7 rings","Ariana Grande",5327808,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
14,"Truth Hurts",Lizzo,5165773,https://open.spotify.com/track/4HFpIAtiojlAuYNmITpYGn
15,"bury a friend","Billie Eilish",5034447,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
16,"Boy With Luv (feat. Halsey)",BTS,4861268,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
17,"when the party's over","Billie Eilish",4860924,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
18,"Pure Water (with Migos)",Mustard,4834907,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
19,Sucker,"Jonas Brothers",4714790,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
20,"wish you were gay","Billie Eilish",4637510,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
21,Robbery,"Juice WRLD",4551566,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
22,"Floating (feat. 21 Savage)","ScHoolboy Q",4461670,https://open.spotify.com/track/4NN6N5TxBO5k9uqu0W4gfQ
23,"Mixed Personalities (feat. Kanye West)","YNW Melly",4295794,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
24,Better,Khalid,4205827,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
25,SOS,Avicii,4201000,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
26,"Envy Me",Calboy,4184610,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
27,"Pop Out (feat. Lil Tjay)","Polo G",4073247,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
28,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",4067579,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
29,"Faucet Failure","Ski Mask The Slump God",4019219,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
30,"a lot","21 Savage",3829563,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
31,Suge,DaBaby,3825147,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
32,lovely,"Billie Eilish",3825007,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
33,"SICKO MODE","Travis Scott",3677313,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
34,"Without Me",Halsey,3642635,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
35,"break up with your girlfriend, i'm bored","Ariana Grande",3610896,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
36,Happier,Marshmello,3566469,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
37,"Lucid Dreams","Juice WRLD",3493972,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
38,"thank u, next","Ariana Grande",3477264,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
39,"Look Back at It","A Boogie Wit da Hoodie",3433645,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
40,"you should see me in a crown","Billie Eilish",3409070,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
41,Paradise,Bazzi,3392271,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
42,"Eastside (with Halsey & Khalid)","benny blanco",3374006,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
43,"That's a Rack","Lil Uzi Vert",3366213,https://open.spotify.com/track/4pCEIQ6wBVuaJdER5bALtO
44,Earth,"Lil Dicky",3333226,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
45,"CHopstix (feat. Travis Scott)","ScHoolboy Q",3330022,https://open.spotify.com/track/2EGtBS7Ws3ajiSkJLviFJ4
46,"my strange addiction","Billie Eilish",3280566,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
47,"Outta My Head (with John Mayer)",Khalid,3251121,https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP
48,"Saturday Nights",Khalid,3196429,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
49,"Better Now","Post Malone",3190797,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
50,"Light It Up (with Tyga & Chris Brown)",Marshmello,3152331,https://open.spotify.com/track/4Q8aDd3H6LF8t4eY7So9O8
51,"all the good girls go to hell","Billie Eilish",3064049,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
52,xanny,"Billie Eilish",3061991,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
53,I,"Lil Skies",3060338,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
54,"Power is Power (feat. The Weeknd & Travis Scott)",SZA,2984846,https://open.spotify.com/track/4cbdPT6uaBOgOQe3fLMofl
55,Shallow,"Lady Gaga",2903621,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
56,"Numb Numb Juice","ScHoolboy Q",2881951,https://open.spotify.com/track/6tByydPskASjm9jTPkNQq0
57,SAD!,XXXTENTACION,2857643,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
58,"Here With Me",Marshmello,2849263,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
59,Thotiana,Blueface,2827273,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
60,"Dancing With A Stranger (with Normani)","Sam Smith",2805026,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
61,"Mo Bamba","Sheck Wes",2757629,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
62,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)","DJ Snake",2698102,https://open.spotify.com/track/6mCqxnyOhr4tHMbRbQL4Yn
63,"High Hopes","Panic! At The Disco",2693429,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
64,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2665292,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
65,"i'm so tired...",Lauv,2625714,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
66,"Shotta Flow","NLE Choppa",2589669,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
67,"3 Nights","Dominic Fike",2573391,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
68,"rockstar (feat. 21 Savage)","Post Malone",2547871,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
69,"Let Me Down Slowly","Alec Benjamin",2535176,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
70,"i love you","Billie Eilish",2518619,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
71,Moonlight,XXXTENTACION,2502534,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
72,"Leave Me Alone","Flipp Dinero",2467784,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
73,"Wake Up in the Sky","Gucci Mane",2464145,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
