,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"HIGHEST IN THE ROOM","Travis Scott",9395208,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
2,Circles,"Post Malone",9248356,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Lose You To Love Me","Selena Gomez",8918735,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
4,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",8522651,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
5,ROXANNE,"Arizona Zervas",8252346,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
6,"Follow God","Kanye West",6657249,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
7,"Don't Start Now","Dua Lipa",6498336,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Someone You Loved","Lewis Capaldi",6225730,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"hot girl bummer",blackbear,6094241,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
10,"223's (feat. 9lokknine)","YNW Melly",6034293,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
11,Memories,"Maroon 5",5966143,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
12,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",5945805,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
13,Camelot,"NLE Choppa",5205722,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
14,Immortal,"21 Savage",5145217,https://open.spotify.com/track/4IO8X9W69dIQe0EC5ALXhq
15,"10,000 Hours (with Justin Bieber)","Dan + Shay",5124158,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
16,"Dance Monkey","Tones And I",5088913,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,"Stuck In A Dream (feat. Gunna)","Lil Mosey",5037529,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
18,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4877645,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
19,Ransom,"Lil Tecca",4873011,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
20,"Truth Hurts",Lizzo,4490534,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
21,"Lights Up","Harry Styles",4418348,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
22,"Goodbyes (Feat. Young Thug)","Post Malone",4415329,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
23,"No Guidance (feat. Drake)","Chris Brown",4352939,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
24,"Look At Her Now","Selena Gomez",4348752,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
25,VIBEZ,DaBaby,4336719,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
26,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",4309180,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
27,Panini,"Lil Nas X",4126770,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
28,"Money In The Grave (Drake ft. Rick Ross)",Drake,4118540,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
29,"Make No Sense","YoungBoy Never Broke Again",3979489,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
30,"Baby (Lil Baby feat. DaBaby)","Quality Control",3947905,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
31,BOP,DaBaby,3938669,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
32,"bad guy","Billie Eilish",3782662,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
33,"Trampoline (with ZAYN)",SHAED,3772140,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
34,Suge,DaBaby,3681441,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
35,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,3666665,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
36,"Ballin' (with Roddy Ricch)",Mustard,3637125,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
37,F.N,"Lil Tjay",3588912,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
38,"Hot (feat. Gunna)","Young Thug",3551696,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
39,"Hot Shower","Chance the Rapper",3485949,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
40,Señorita,"Shawn Mendes",3484563,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
41,"Bad To You (with Normani & Nicki Minaj)","Ariana Grande",3454454,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
42,"Enemies (feat. DaBaby)","Post Malone",3432942,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
43,"Beautiful People (feat. Khalid)","Ed Sheeran",3410705,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
44,"How Do You Sleep?","Sam Smith",3379639,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
45,"The London (feat. J. Cole & Travis Scott)","Young Thug",3283076,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
46,"On God","Kanye West",3256548,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn
47,"Bad Bad Bad (feat. Lil Baby)","Young Thug",3249963,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
48,Graveyard,Halsey,3209662,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
49,"Did It Again","Lil Tecca",3207435,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
50,VALENTINO,24kGoldn,3186913,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
51,"Closed On Sunday","Kanye West",3099996,https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3
52,"Love Me More","Trippie Redd",3034791,https://open.spotify.com/track/2NSWi83peog6gHerzlMCqU
53,Saint-Tropez,"Post Malone",2946137,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
54,"MIDDLE CHILD","J. Cole",2935280,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
55,Somebody,"Internet Money",2919823,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
56,"Hate Me (with Juice WRLD)","Ellie Goulding",2890994,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
57,"Pop Out (feat. Lil Tjay)","Polo G",2843233,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
58,Selah,"Kanye West",2790989,https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4
59,"Good Thing (with Kehlani)",Zedd,2769229,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
60,Liar,"Camila Cabello",2760843,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
61,Wow.,"Post Malone",2753382,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
62,"Start Wit Me (feat. Gunna)","Roddy Ricch",2735267,https://open.spotify.com/track/5ravc2aiNoYmu9m37diYXW
63,"Use This Gospel","Kanye West",2683193,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P
64,"Everything We Need","Kanye West",2657194,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP
65,"In My Room","Frank Ocean",2635320,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL
66,Lalala,Y2K,2600897,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
67,"Lucid Dreams","Juice WRLD",2559443,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
68,"Murder On My Mind","YNW Melly",2547805,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
69,"Heartless (feat. Morgan Wallen)",Diplo,2521240,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
70,Trigger,"Major Lazer",2512748,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
71,"It's You","Ali Gatie",2482905,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
72,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",2465714,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
73,"SICKO MODE","Travis Scott",2463663,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
74,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",2462090,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
75,"Self Control","YoungBoy Never Broke Again",2441115,https://open.spotify.com/track/4vSoyDfL0uZyUoWu5NNNsQ
76,"Hollywood's Bleeding","Post Malone",2414606,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
77,"Ransom (with Juice WRLD) - Remix","Lil Tecca",2414596,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
78,"Talk (feat. Disclosure)",Khalid,2409372,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
79,"Going Bad (feat. Drake)","Meek Mill",2385548,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
80,I.F.L.Y.,Bazzi,2380628,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
81,"SLOW DANCING IN THE DARK",Joji,2378336,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
82,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",2377795,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
83,"Behind Barz - Bonus",Drake,2332358,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
84,"Panini - DaBaby Remix","Lil Nas X",2329118,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
85,"when the party's over","Billie Eilish",2300355,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
86,Robbery,"Juice WRLD",2298011,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
87,Motivation,Normani,2295209,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
88,"God Is","Kanye West",2276432,https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR
89,"Nice To Meet Ya","Niall Horan",2274473,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
90,Forever,"NLE Choppa",2268031,https://open.spotify.com/track/3fx31TjnwvwZIyAGHhOhA1
91,"Yellow Hearts","Ant Saunders",2237643,https://open.spotify.com/track/20JtELGPfOAMq7FpUt8eSM
92,"Good as Hell",Lizzo,2212769,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
93,"Hot Now","YoungBoy Never Broke Again",2212577,https://open.spotify.com/track/3eeyKNIBrt5TH4y0y3QkOu
94,"I Don't Care (with Justin Bieber)","Ed Sheeran",2200369,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
95,"Playing Games (with Bryson Tiller) - Extended Version","Summer Walker",2191794,https://open.spotify.com/track/2xyx0o4xNOLLjBSbOOdcbA
96,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",2184888,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
97,"lovely (with Khalid)","Billie Eilish",2167551,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
98,"Love Me","Lil Tecca",2165669,https://open.spotify.com/track/4e0FYxSROat25pH16zMTZI
99,Easy,"Camila Cabello",2162423,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
100,"Sanguine Paradise","Lil Uzi Vert",2152625,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
101,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",2148040,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
102,"Carbonated Water","Ski Mask The Slump God",2136246,https://open.spotify.com/track/4HPTladgOGcGzleMR3I0FK
103,Chanel,"Frank Ocean",2135968,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
104,"Takeaway (feat. Lennon Stella)","The Chainsmokers",2120635,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
105,EARFQUAKE,"Tyler, The Creator",2101414,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
106,Lover,"Taylor Swift",2089668,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
107,"Ride It",Regard,2088841,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
108,Speechless,"Dan + Shay",2070695,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
109,"Die For Me (feat. Future & Halsey)","Post Malone",2067486,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
110,Water,"Kanye West",2059275,https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb
111,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",2039948,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
112,Callaita,"Bad Bunny",2029643,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
