,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Follow God","Kanye West",15208972,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
2,"Lose You To Love Me","Selena Gomez",14388887,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
3,"HIGHEST IN THE ROOM","Travis Scott",10300763,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
4,"Closed On Sunday","Kanye West",9780540,https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3
5,"On God","Kanye West",9722074,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn
6,Circles,"Post Malone",9432783,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,Selah,"Kanye West",9372821,https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4
8,"Everything We Need","Kanye West",8954019,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP
9,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",8762667,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
10,"Use This Gospel","Kanye West",8323353,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P
11,"God Is","Kanye West",7102936,https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR
12,"Every Hour","Kanye West",7093784,https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY
13,Water,"Kanye West",6967788,https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb
14,"Someone You Loved","Lewis Capaldi",6707749,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"Look At Her Now","Selena Gomez",6670134,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
16,"hot girl bummer",blackbear,6581172,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
17,Memories,"Maroon 5",6447232,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,"Hands On","Kanye West",6240862,https://open.spotify.com/track/7r6aR2f57resC5r93LwMfK
19,"223's (feat. 9lokknine)","YNW Melly",5765476,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
20,"10,000 Hours (with Justin Bieber)","Dan + Shay",5648391,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
21,"Dance Monkey","Tones And I",5590832,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
22,"Hot (feat. Gunna)","Young Thug",5552950,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
23,"Lights Up","Harry Styles",5343014,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
24,"Jesus Is Lord","Kanye West",5246124,https://open.spotify.com/track/7sBgFMWqDWQgrsNSpIBoe8
25,Ransom,"Lil Tecca",5138276,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
26,Camelot,"NLE Choppa",5137812,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
27,"Truth Hurts",Lizzo,5137336,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
28,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",5126150,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
29,"Goodbyes (Feat. Young Thug)","Post Malone",4750395,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
30,"Money In The Grave (Drake ft. Rick Ross)",Drake,4703584,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
31,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",4629584,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
32,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,4598516,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
33,"No Guidance (feat. Drake)","Chris Brown",4524423,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
34,Panini,"Lil Nas X",4462676,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
35,VIBEZ,DaBaby,4303749,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
36,"Stuck In A Dream (feat. Gunna)","Lil Mosey",4297062,https://open.spotify.com/track/5hDAT527wXWNBnJlujhuUs
37,"bad guy","Billie Eilish",4094287,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
38,BOP,DaBaby,4034891,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
39,"Baby (Lil Baby feat. DaBaby)","Quality Control",3832782,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
40,"Make No Sense","YoungBoy Never Broke Again",3809023,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
41,Suge,DaBaby,3770287,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
42,Señorita,"Shawn Mendes",3723331,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
43,"Trampoline (with ZAYN)",SHAED,3716139,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
44,ROXANNE,"Arizona Zervas",3697556,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
45,"Enemies (feat. DaBaby)","Post Malone",3694857,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
46,"How Do You Sleep?","Sam Smith",3683619,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
47,F.N,"Lil Tjay",3593451,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
48,"Beautiful People (feat. Khalid)","Ed Sheeran",3578174,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
49,Trigger,"Major Lazer",3567323,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
50,Graveyard,Halsey,3551175,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
51,"Ballin' (with Roddy Ricch)",Mustard,3450899,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
52,"The London (feat. J. Cole & Travis Scott)","Young Thug",3363423,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
53,"Hate Me (with Juice WRLD)","Ellie Goulding",3247610,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
54,"Did It Again","Lil Tecca",3246798,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj
55,Saint-Tropez,"Post Malone",3225085,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
56,"Hot Shower","Chance the Rapper",3220786,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
57,Lalala,Y2K,3218805,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
58,"Good Thing (with Kehlani)",Zedd,3156010,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
59,"Bad Bad Bad (feat. Lil Baby)","Young Thug",3135748,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
60,Liar,"Camila Cabello",3119874,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
61,"MIDDLE CHILD","J. Cole",2984197,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
62,"Pop Out (feat. Lil Tjay)","Polo G",2969848,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
63,"Start Wit Me (feat. Gunna)","Roddy Ricch",2913490,https://open.spotify.com/track/5ravc2aiNoYmu9m37diYXW
64,VALENTINO,24kGoldn,2896548,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh
65,Wow.,"Post Malone",2861086,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
66,"Nice To Meet Ya","Niall Horan",2853817,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
67,"Heartless (feat. Morgan Wallen)",Diplo,2639463,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
68,Somebody,"Internet Money",2633383,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi
69,"Hollywood's Bleeding","Post Malone",2626162,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
70,"SICKO MODE","Travis Scott",2606873,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
71,"Talk (feat. Disclosure)",Khalid,2605704,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
72,"Lucid Dreams","Juice WRLD",2584109,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,"Good as Hell",Lizzo,2579389,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
74,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",2569357,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
75,"Murder On My Mind","YNW Melly",2548425,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
76,"Ransom (with Juice WRLD) - Remix","Lil Tecca",2542930,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
77,"Panini - DaBaby Remix","Lil Nas X",2504840,https://open.spotify.com/track/4SDgTLDYrJ2UrHbkRkg7MD
78,"It's You","Ali Gatie",2489315,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
