,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"Hate Me (with Juice WRLD)","Ellie Goulding",2895407,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
53,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",2876846,https://open.spotify.com/track/2gTdDMpNxIRFSiu7HutMCg
54,I.F.L.Y.,Bazzi,2849148,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
55,"Never Really Over","Katy Perry",2836869,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
56,"BROWN SKIN GIRL","Blue Ivy",2796220,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP
57,"On A Roll","Ashley O",2794433,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
58,"lovely (with Khalid)","Billie Eilish",2782492,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"Murder On My Mind","YNW Melly",2774527,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
60,"i love you","Billie Eilish",2759795,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
61,"Post Malone (feat. RANI)","Sam Feldt",2744304,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
62,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",2699265,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
63,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,2669392,https://open.spotify.com/track/5WnfnSpuNEGXyEt78PBA6d
64,Better,Khalid,2661656,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
65,"Lucid Dreams","Juice WRLD",2656398,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
66,China,"Anuel AA",2614551,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
67,"Eastside (with Halsey & Khalid)","benny blanco",2612536,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
68,"SICKO MODE","Travis Scott",2611481,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
69,"Envy Me",Calboy,2603205,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
70,Happier,Marshmello,2545644,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
71,"bury a friend","Billie Eilish",2527100,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
72,Paradise,Bazzi,2521151,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
73,"Higher Love",Kygo,2511856,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
74,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",2474150,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
75,Robbery,"Juice WRLD",2465159,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
76,"My Type",Saweetie,2452876,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
77,"Better Now","Post Malone",2442473,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
78,"Old Town Road","Lil Nas X",2431785,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
79,"Only Human","Jonas Brothers",2418874,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
80,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",2345243,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
81,"Time - Edit",NF,2324173,https://open.spotify.com/track/68Vm2W4oURsPV3121vUZgB
82,"rockstar (feat. 21 Savage)","Post Malone",2314449,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
83,"La La Land (feat. YG)","Bryce Vine",2278236,https://open.spotify.com/track/3TpBefRZ1vFcOH6z57PQRI
84,"gone girl","iann dior",2252965,https://open.spotify.com/track/6G0FACzGN80Dj2v4ass5rq
85,"Dancing With A Stranger (with Normani)","Sam Smith",2252666,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
86,"Without Me",Halsey,2252589,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
87,"Under The Sun (with J. Cole & Lute feat. DaBaby)",Dreamville,2221068,https://open.spotify.com/track/6MF4tRr5lU8qok8IKaFOBE
88,"Worth It","YK Osiris",2217016,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
89,"Look Back at It","A Boogie Wit da Hoodie",2213754,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
90,SAD!,XXXTENTACION,2212490,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
91,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",2188556,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
92,Uno,Ambjaay,2187984,https://open.spotify.com/track/3AEgic4yp82NxMWUjHtxnO
93,"Soltera - Remix",Lunay,2181548,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
94,"Baby Sitter (feat. Offset)",DaBaby,2176522,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
95,"Clout (feat. Cardi B)",Offset,2171134,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
96,"thank u, next","Ariana Grande",2170559,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
97,"Goin Baby",DaBaby,2158772,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
98,Speechless,"Dan + Shay",2147451,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
99,Juice,Lizzo,2124427,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
100,"Beautiful Crazy","Luke Combs",2121385,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
101,"Whiskey Glasses","Morgan Wallen",2121346,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
102,"Otro Trago",Sech,2114745,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
103,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,2114146,https://open.spotify.com/track/36J0iaPDGbYGsHvYpaYs3k
104,"wish you were gay","Billie Eilish",2093291,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
105,"Daddy (feat. Rich The Kid)",Blueface,2080180,https://open.spotify.com/track/6XkLPzkKzPhpr3hrvl1TUq
106,"a lot","21 Savage",2061931,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
107,"Beer Never Broke My Heart","Luke Combs",2051664,https://open.spotify.com/track/7nfmK6oHPDlAd68A11d7AN
108,"LA CANCIÓN","J Balvin",2046228,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
109,"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",XXXTENTACION,2031790,https://open.spotify.com/track/0OTBOHjEaoqroFlfut1ZsH
110,"break up with your girlfriend, i'm bored","Ariana Grande",2028273,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
111,"Out The Mud","Lil Baby",2017514,https://open.spotify.com/track/2wZjsbwmWfNVslgV5afl1L
112,"Cash Shit (feat. DaBaby)","Megan Thee Stallion",1999062,https://open.spotify.com/track/2rMAtCaTj16NptyVfEIeAC
113,"Loco Contigo","DJ Snake",1998674,https://open.spotify.com/track/1fBXSMOusjaj7GjzErHmUI
114,"SLOW DANCING IN THE DARK",Joji,1997700,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
115,"Act Up","City Girls",1985783,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h
116,"Shotta Flow","NLE Choppa",1985344,https://open.spotify.com/track/4dAMdQ6g4kGmnc1MDHsg77
117,"Homicide (feat. Eminem)",Logic,1981329,https://open.spotify.com/track/7M2tXmeS15NAzEn7ABFeBg
118,"Saturday Nights",Khalid,1967378,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
119,"God's Country","Blake Shelton",1965858,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K
120,"I Fall Apart","Post Malone",1962912,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
121,"High Hopes","Panic! At The Disco",1955940,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
122,Easier,"5 Seconds of Summer",1955271,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
123,Moonlight,XXXTENTACION,1934031,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
124,"Mother's Daughter","Miley Cyrus",1919190,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
125,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1914416,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
126,"QUE PRETENDES","J Balvin",1909406,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
127,Shallow,"Lady Gaga",1905959,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
128,Forever,"Tory Lanez",1898471,https://open.spotify.com/track/0oVxGuRMnawFgA8aduocfc
129,Youngblood,"5 Seconds of Summer",1897751,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
130,"Bohemian Rhapsody - Remastered 2011",Queen,1880253,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
131,"I Like It","Cardi B",1871135,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
132,"Jocelyn Flores",XXXTENTACION,1867973,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
133,Nonstop,Drake,1840090,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
134,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1823369,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
135,"Hey Look Ma, I Made It","Panic! At The Disco",1814458,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
136,"you should see me in a crown","Billie Eilish",1813164,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
137,"Find U Again (feat. Camila Cabello)","Mark Ronson",1811866,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
138,"Young Dumb & Broke",Khalid,1799678,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
139,"Psycho (feat. Ty Dolla $ign)","Post Malone",1797725,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
140,Tequila,"Dan + Shay",1796099,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
141,"Faucet Failure","Ski Mask The Slump God",1794691,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
142,"ocean eyes","Billie Eilish",1788638,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
143,"Con Calma","Daddy Yankee",1769273,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
144,"All Girls Are The Same","Juice WRLD",1764519,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
145,Feeling,"Juice WRLD",1764293,https://open.spotify.com/track/2Jh3UqxnHJMyzMzku4uOtE
146,"Yes Indeed","Lil Baby",1749431,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
147,"Taste (feat. Offset)",Tyga,1740753,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
148,Congratulations,"Post Malone",1734208,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
149,"Talk You Out Of It","Florida Georgia Line",1730842,https://open.spotify.com/track/4qQwGRtGT7l6ckQtdPEFd4
150,"No Me Conoce - Remix","Jhay Cortez",1730813,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
151,"I Like Me Better",Lauv,1726572,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
152,Bitchuary,"Shordie Shordie",1722870,https://open.spotify.com/track/4dV3okcjbQwTcg4ObIGr4N
153,"Leave Me Alone","Flipp Dinero",1697431,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
154,"i'm so tired...",Lauv,1694827,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
155,"100 Shooters (feat. Meek Mill)",Future,1694013,https://open.spotify.com/track/2j7mcsEz4n5XxMMqqjjB6p
156,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1688619,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
157,"XO Tour Llif3","Lil Uzi Vert",1688264,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
158,Noticed,"Lil Mosey",1684672,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
159,I,"Lil Skies",1681336,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
160,idontwannabeyouanymore,"Billie Eilish",1677792,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
161,"Sweet but Psycho","Ava Max",1670107,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
162,"Mixed Personalities (feat. Kanye West)","YNW Melly",1668696,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
163,Rumor,"Lee Brice",1665066,https://open.spotify.com/track/56eGOeSsqdg3FLxdo83TwV
164,"Mo Bamba","Sheck Wes",1657927,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
165,comethru,"Jeremy Zucker",1652836,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
166,"God's Plan",Drake,1635530,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
167,"Armed And Dangerous","Juice WRLD",1630008,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
168,"Love Me Less (feat. Quinn XCII)",MAX,1623208,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ
169,"The Middle",Zedd,1605625,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
170,"Look What God Gave Her","Thomas Rhett",1604543,https://open.spotify.com/track/2KqJC0koTBUyDlsMt5ok1V
171,"Be Alright","Dean Lewis",1599195,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
172,Location,Khalid,1593525,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
173,"Wake Up in the Sky","Gucci Mane",1587130,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
174,goosebumps,"Travis Scott",1585085,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
175,"Here With Me",Marshmello,1583371,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
176,GRoCERIES,"Chance the Rapper",1581378,https://open.spotify.com/track/0yFvWTLs3iIwDbc91noXGT
177,HUMBLE.,"Kendrick Lamar",1572058,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
