,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Heartless,"The Weeknd",11224390,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
2,ROXANNE,"Arizona Zervas",10198981,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Blinding Lights","The Weeknd",9583216,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Circles,"Post Malone",7959651,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"everything i wanted","Billie Eilish",7130246,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,Falling,"Trevor Daniel",6654951,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"HIGHEST IN THE ROOM","Travis Scott",6526382,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
8,BOP,DaBaby,6054623,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
9,"All I Want for Christmas Is You","Mariah Carey",5917003,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",5684584,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
11,"Dance Monkey","Tones And I",5336475,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,"hot girl bummer",blackbear,5021413,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
13,"Someone You Loved","Lewis Capaldi",5009426,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"Lose You To Love Me","Selena Gomez",4920142,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
15,"Rockin' Around The Christmas Tree","Brenda Lee",4838204,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
16,Memories,"Maroon 5",4683919,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
