,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
58,TRIANGELDRAMA,Robbz x Brookz,266935,https://open.spotify.com/track/0ntVXbLbKbgCesFWS6qRet
59,Härifrån,Dizzy,264054,https://open.spotify.com/track/00b9utayyiUwzCkXLWSf8f
60,Heartless,The Weeknd,263153,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
61,Då börjar fåglar sjunga,Miss Li,257527,https://open.spotify.com/track/7FemQvLSKHlBYsIM3PoCs8
62,when the party's over,Billie Eilish,253100,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
63,Close Your Eyes,Felix Jaehn,252911,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
64,Babblarnas vaggvisa,Babblarna,250001,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5
65,WLIT,Yasin,245566,https://open.spotify.com/track/0hW2Uudw7HmicjSKtmqKss
66,Sprayad,Greekazo,241757,https://open.spotify.com/track/5RbbypMC1xhw1Kqdmu5uDd
67,Drip 2 Hard,Einár,237513,https://open.spotify.com/track/6h7wHyRKmQgT9COCR2TGu2
68,Säg mig var du står,Little Jinder,237290,https://open.spotify.com/track/492z4HhkIEmaKS7lbXzeDK
69,Första Klass,Einár,234869,https://open.spotify.com/track/74TEgDsFaq0zMttq1dVuYK
70,Bruises,Lewis Capaldi,234706,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
71,Higher Love,Kygo,233120,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
72,RITMO (Bad Boys For Life),Black Eyed Peas,229458,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
73,F.A.M.E (LeyLey),Dani M,226670,https://open.spotify.com/track/1ryW1LqC5VMFJFXd4wIrpf
74,Watermelon Sugar,Harry Styles,225469,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
75,Det bästa kanske inte hänt än,Molly Sandén,223146,https://open.spotify.com/track/7Jtmca0gCNHj9OIvv6N1y3
76,hot girl bummer,blackbear,223088,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
77,Without You (feat. Sandro Cavazza),Avicii,219509,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
78,MANGO LASSI,Dree Low,219427,https://open.spotify.com/track/2fjYyl87s888GDWsQ4t8nb
79,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,213922,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
80,Falling,Harry Styles,212856,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
81,Let Him Go,JUNG,212097,https://open.spotify.com/track/1cXLNDNwUjFB81anhcsDgo
82,Lucid Dreams,Juice WRLD,210930,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
