,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Svag,Victor Leksell,4415760,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
2,ICE CREAM,Greekazo,1681776,https://open.spotify.com/track/1XrJFPU2gbR0YzKyugold7
3,Blinding Lights,The Weeknd,1477957,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Mitten av september,Hov1,1181255,https://open.spotify.com/track/7jjLKYImKi4sXsvPKwLoRq
5,Lev nu dö sen,Miss Li,1089088,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
6,XO,Yasin,1021976,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
7,Dance Monkey,Tones And I,1002818,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,GFLOW,Z.E,995384,https://open.spotify.com/track/684jrXb96qFbfvBFkLJ08d
9,The Box,Roddy Ricch,897778,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
10,Godzilla (feat. Juice WRLD),Eminem,890917,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,Tills mitt hjärta går under,Myra Granberg,846724,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
12,PIPPI,Dree Low,819743,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
13,PT:1,Yasin,769834,https://open.spotify.com/track/0peCogN4G8UuuhSB9jPUnN
14,No Cap,Adel,743811,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
15,Första klivet,Lellow,736046,https://open.spotify.com/track/3rUb2v8JnqDwcQ3v3Yr057
16,The Dirt,Benjamin Ingrosso,691639,https://open.spotify.com/track/4sPZ6euGsdJxOE37TeF4MD
17,Yummy,Justin Bieber,647931,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
18,FÖRSENT,1.Cuz,629490,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
19,TESLA,Macky,578255,https://open.spotify.com/track/4LZi20EAgNBhTR3OBWLzdr
20,Life Is Good (feat. Drake),Future,566896,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
21,Those Kinda Nights (feat. Ed Sheeran),Eminem,566735,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
22,Valhalla,Ringnes-Ronny,563006,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
23,Tipp Tapp,Stress,562723,https://open.spotify.com/track/1JEQhfJAyHI4Cr0PQvOnSQ
24,Våra vackra dar,Hov1,562108,https://open.spotify.com/track/3qqZaP3TSW6Rn8rwTBUKIn
25,Det svåraste,estraden,555678,https://open.spotify.com/track/7Do7xOZdSa9a41RbBFORwe
26,Someone You Loved,Lewis Capaldi,547374,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,Falling,Trevor Daniel,538632,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
28,Bra för dig,estraden,535560,https://open.spotify.com/track/3YCAQEpuFtgVVhEDJsW3gQ
29,Memories,Maroon 5,529090,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
30,everything i wanted,Billie Eilish,525547,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
