,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
58,Goliath,Smith & Thell,255470,https://open.spotify.com/track/0z4kyKuFGmUV7WQ7gB1sAp
59,goosebumps,Travis Scott,253940,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
60,Before You Go,Lewis Capaldi,250151,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
61,ICE CREAM,Greekazo,247849,https://open.spotify.com/track/2NuIm7O7WwkRsiQ5K4mbnP
62,"Sunday Best (Feeling Good, Like I Should)",Surfaces,245582,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
63,Kärt återseende,Tjuvjakt,245071,https://open.spotify.com/track/7DCucMNj9riuiPKRgho4PL
64,Talking In My Sleep,Paul Rey,244739,https://open.spotify.com/track/3RDZ1tmyih1KHQMj6gpgD4
65,Tillfälligheter,Veronica Maggio,240117,https://open.spotify.com/track/0rBj6lYQUMHwTJ33sdj6Qz
66,Someone,Jubël,234177,https://open.spotify.com/track/68zNuCEl9UHTbcBltW2uDv
67,If the World Was Ending - feat. Julia Michaels,JP Saxe,231006,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
68,Sånger från förut,GAMMAL,230430,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ
69,KLAMYDIA,Rasmus Gozzi,229648,https://open.spotify.com/track/5B1DtTYmgPEuGN26kPhE43
70,Vem e som oss,Anis Don Demina,228925,https://open.spotify.com/track/20052FYa2SF5Lkp9VZTLJX
71,Intentions (feat. Quavo),Justin Bieber,227806,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
72,Dom får mig aldrig levande (feat. Thomas Stenström),Petter,227606,https://open.spotify.com/track/5VabwTVAE28HA5d3W5ftAj
73,WHATS POPPIN,Jack Harlow,223764,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
74,För Evigt (feat. estraden),Jireel,221260,https://open.spotify.com/track/6bey7El3agTSzIRaAdjPg1
75,SIG SAUER,Dree Low,219902,https://open.spotify.com/track/2ekJoT9zVuRGJWJN1mBceG
76,Klär av dig,Victor Leksell,219400,https://open.spotify.com/track/7gt0BOQGPSst4wY6BQoH6u
77,Move,The Mamas,217540,https://open.spotify.com/track/19LiotxKSVs7FeVMEdHz63
78,bad guy,Billie Eilish,216141,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
79,E (Ventex),Albatraoz,215997,https://open.spotify.com/track/0nZPJ83AFwWPNSMrS2Jr5J
80,FÖRSENT,1.Cuz,215209,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
81,Thank You [Not So Bad],VIZE,215125,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
82,I'll Wait,Kygo,214676,https://open.spotify.com/track/6Q3K9gVUZRMZqZKrXovbM2
83,Relationer,Jireel,212345,https://open.spotify.com/track/3NwQ4VvAi0Kc40PCaeEWEd
84,Astronomia,Vicetone,211151,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
85,Falling,Trevor Daniel,209889,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
86,Skechers,DripReport,209018,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
87,SICKO MODE,Travis Scott,208669,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
88,Circles,Post Malone,208484,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
89,I'm Coming,Tove Lo,205282,https://open.spotify.com/track/4C6EPWGYM3K3IIv4xzPL2X
90,Adore You,Harry Styles,205039,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
