,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
59,RÄKNA MINA DAGAR,1.Cuz,304074,https://open.spotify.com/track/39YxFKLZ1xbu1f9gQiwkFz
60,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,302034,https://open.spotify.com/track/1vmQXaFNMnSEBLTobPwME5
61,Våra vackra dar,Hov1,295052,https://open.spotify.com/track/3qqZaP3TSW6Rn8rwTBUKIn
62,Dum,Omar Rudberg,279949,https://open.spotify.com/track/3pmw6jRTX2x39kI9PJ79dM
63,Adore You,Harry Styles,278655,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
64,Tillfälligheter,Veronica Maggio,274164,https://open.spotify.com/track/0rBj6lYQUMHwTJ33sdj6Qz
65,Señorita,Shawn Mendes,269468,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
66,when the party's over,Billie Eilish,266249,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
67,Close Your Eyes,Felix Jaehn,265271,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
68,I Don't Care (with Justin Bieber),Ed Sheeran,265084,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
69,Alla våra smeknamn,Molly Sandén,260567,https://open.spotify.com/track/1yXRbopf6xxpwmbPfolBQo
70,Shallow,Lady Gaga,259424,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
71,Suicidal,YNW Melly,258144,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
72,Foreign,Unga Scener,254549,https://open.spotify.com/track/2B3WqjX1Z5jOS2a1dxanVM
73,Babblarnas vaggvisa,Babblarna,253762,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5
74,Never Seen the Rain,Tones And I,251015,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
75,TOP CLASS,Dree Low,250943,https://open.spotify.com/track/4zKYAowoRnZNgL3kWVlXn4
76,Get Me,Justin Bieber,243981,https://open.spotify.com/track/6zGPytJiZmFuyVq7RTNO9G
77,Rare,Selena Gomez,242367,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
78,Tappat,Victor Leksell,241124,https://open.spotify.com/track/2jPCvYRyIXQf2if8CTyabC
79,MANGO LASSI,Dree Low,240305,https://open.spotify.com/track/2fjYyl87s888GDWsQ4t8nb
80,Higher Love,Kygo,237927,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
81,In Your Eyes (feat. Alida),Robin Schulz,237665,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
82,Lose Control,MEDUZA,232180,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
83,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,231628,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
84,Beautiful People (feat. Khalid),Ed Sheeran,230044,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
85,SOS (feat. Aloe Blacc),Avicii,226415,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
86,Svartsjuk,Hov1,225572,https://open.spotify.com/track/3zYkiaVV22ZjeZPS1YrFRa
87,Det bästa kanske inte hänt än,Molly Sandén,223966,https://open.spotify.com/track/7Jtmca0gCNHj9OIvv6N1y3
88,Första Klass,Einár,222377,https://open.spotify.com/track/74TEgDsFaq0zMttq1dVuYK
89,Apoteket,Greekazo,221640,https://open.spotify.com/track/33pcmSPeqpP7EjUOBd2dZM
90,What A Man Gotta Do,Jonas Brothers,218764,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
91,Härifrån,Dizzy,214882,https://open.spotify.com/track/00b9utayyiUwzCkXLWSf8f
92,Sprayad,Greekazo,213707,https://open.spotify.com/track/5RbbypMC1xhw1Kqdmu5uDd
93,Ballin' (with Roddy Ricch),Mustard,212520,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
94,Sånger från förut,GAMMAL,212282,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ
95,Lose You To Love Me,Selena Gomez,211561,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
96,My Oh My (feat. DaBaby),Camila Cabello,210083,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
97,July,Noah Cyrus,209105,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
98,Cleopatra,Ant Wan,204697,https://open.spotify.com/track/5QrUrRVyvzJSzxiJoiFa9w
