,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
59,Babblarnas vaggvisa,Babblarna,247696,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5
60,BIG MAC,Greekazo,247609,https://open.spotify.com/track/4vwpdHr42391exUlkLAQyy
61,bad guy,Billie Eilish,243701,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
62,Brave,Hanna Ferm,236548,https://open.spotify.com/track/7oNRF4LJHL5aC2zTU66UN1
63,After Hours,The Weeknd,236172,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
64,If the World Was Ending - feat. Julia Michaels,JP Saxe,235681,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
65,Memories,Maroon 5,230883,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
66,Tillfälligheter,Veronica Maggio,230189,https://open.spotify.com/track/0rBj6lYQUMHwTJ33sdj6Qz
67,Before You Go,Lewis Capaldi,229233,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
68,XO,Yasin,228913,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
69,Savage,Megan Thee Stallion,228261,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
70,FÖRSENT,1.Cuz,227980,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
71,Klär av dig,Victor Leksell,225860,https://open.spotify.com/track/7gt0BOQGPSst4wY6BQoH6u
72,everything i wanted,Billie Eilish,223451,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
73,Circles,Post Malone,221583,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
74,Jag har en fråga,BL,220607,https://open.spotify.com/track/5O8QMtH1VsHCBdMDE14OTz
75,Thank You [Not So Bad],VIZE,217803,https://open.spotify.com/track/4AqN8IdKCfItCSbuaFch81
