,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,blun7 a swishland,tha Supreme,2805509,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,ANSIA NO,FSK SATELLITE,2082615,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
3,fuck 3x,tha Supreme,1864242,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
4,Dance Monkey,Tones And I,1764326,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1632629,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
6,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1537576,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
7,CRUDELIA - I nervi,Marracash,1437789,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
8,BRAVI A CADERE - I polmoni,Marracash,1306655,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
9,Tutto Questo Sei Tu,Ultimo,1265102,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
10,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1242211,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
11,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1192073,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
12,RITMO (Bad Boys For Life),Black Eyed Peas,1185955,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
13,Falling,Trevor Daniel,1172507,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,Holly & Benji (feat. Capo Plaza & Shiva),AVA,1038113,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
15,ROXANNE,Arizona Zervas,990023,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,Chiasso,Random,986897,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
17,Non Avere Paura,Tommaso Paradiso,980340,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
18,Una volta ancora (feat. Ana Mena),Fred De Palma,979630,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
19,Don't Start Now,Dua Lipa,959495,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
20,Memories,Maroon 5,955277,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,Yummy,Justin Bieber,930565,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
22,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,924731,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
23,Bossoli,Shiva,922285,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
24,m12ano - feat. Mara Sattei,tha Supreme,908080,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
25,Barrio,Mahmood,906119,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
26,Cin Cin,Alfa,888617,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
27,sw1n6o - feat. Salmo,tha Supreme,876681,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
28,Ayy Macarena,Tyga,862995,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
29,Allora ciao,Shade,811959,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
30,Il tuo profumo,Fred De Palma,809553,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
31,Stu core t'apparten,Rocco Hunt,798054,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
