,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
54,OPPS (feat. Capo Plaza),DrefGold,642818,https://open.spotify.com/track/6TzJQdkvLetW6PTVBKKVNh
55,SICKO MODE,Travis Scott,636080,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
56,Baila Conmigo (feat. Kelly Ruiz),Dayvi,613448,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
57,Ridere,Pinguini Tattici Nucleari,612454,https://open.spotify.com/track/5LZVK19ieaV8Mk9FsqTL3F
58,Ringo Starr,Pinguini Tattici Nucleari,609830,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
59,fuck 3x,tha Supreme,592089,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
60,Cin Cin,Alfa,588614,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
61,PALAZZINE (feat. Marracash & Coez),KID VICIOUS,570356,https://open.spotify.com/track/1Ht2ikmrxrs7EZj3VFkrCe
62,Kyte sul tempo (feat. Vegas Jones) - prod. Strage,Dani Faiv,555507,https://open.spotify.com/track/1P6rqjjzUUdISsEyDL4yf8
63,Weekend a Miami (feat. Shiva) - prod. Strage,Dani Faiv,545093,https://open.spotify.com/track/2Cft8QMGbXrhIMUWyllZ0s
64,Supalonely,BENEE,541853,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
65,Domani ci passa,Ludwig,535938,https://open.spotify.com/track/3elLXGwE5zaREuOzWdlRJ2
66,Una voglia assurda,J-AX,532607,https://open.spotify.com/track/2MLz3Pgc9NwNrMfOlILmKt
67,Freddy friendly (feat. Gemitaiz) - prod. Kanesh,Dani Faiv,531178,https://open.spotify.com/track/54LKshqvO5WDy9RWhvJYxy
68,Blueberry Faygo,Lil Mosey,524455,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
69,Falling,Trevor Daniel,524274,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
70,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,523069,https://open.spotify.com/track/5EpBEqf5bnKeJ3p4zA1Sod
71,LONDRA,Rosa Chemical,517487,https://open.spotify.com/track/1zBr4jTyegVrBeGUgZgy7l
72,HIGHEST IN THE ROOM,Travis Scott,516755,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
73,Ma lo vuoi capire?,Tommaso Paradiso,513661,https://open.spotify.com/track/4Veqf07wBQY58QVqNGA1M7
74,ANSIA NO,FSK SATELLITE,512548,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
75,Il Passo (feat. Samurai Jay),MamboLosco,505372,https://open.spotify.com/track/5DeyCr1ZPOLBYFwHOqn6Lv
76,Dove e quando,Benji & Fede,505355,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
77,CRUDELIA - I nervi,Marracash,499195,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
78,Viceversa,Francesco Gabbani,480480,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
79,BRAVI A CADERE - I polmoni,Marracash,469169,https://open.spotify.com/track/3me7fQdjgO8NHscb3xPaBa
80,Don't Start Now,Dua Lipa,466632,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
81,Lento,Boro Boro,465858,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
82,Sour Candy (with BLACKPINK),Lady Gaga,465691,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
83,Me Gusta,Shakira,465205,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
84,Fai rumore,Diodato,465003,https://open.spotify.com/track/5fQdJRMCHmIlYRC7s3y5GR
85,The Box,Roddy Ricch,454078,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
86,Before You Go,Lewis Capaldi,445167,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
87,Stu core t'apparten,Rocco Hunt,436806,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
88,In Your Eyes,The Weeknd,429593,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
89,POLKA,Rosa Chemical,429438,https://open.spotify.com/track/6hcUMWNYcoRygbg7cdxrZL
90,4L (feat. MamboLosco),Dark Polo Gang,426183,https://open.spotify.com/track/73tvJPxq6K6J1Pd6p6it6t
91,Physical,Dua Lipa,423200,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
92,ENJOY (feat. Tedua),DrefGold,421243,https://open.spotify.com/track/2tAZzQ65C5GDJCIhuACs5o
93,SAVAGE (feat. Tedua),Dark Polo Gang,412334,https://open.spotify.com/track/4kG6FMpUB3bUmlwLAmv6PM
94,Marymango (feat. tha Supreme),Ghali,411147,https://open.spotify.com/track/1ociMpeDbQ9iSXNUNTIfLV
95,MALA SANTA,Becky G,408322,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
96,"Machete Mob (feat. Lazza, Nitro, Hell Raton & Jack The Smoker) - prod. Low Kidd",Dani Faiv,404985,https://open.spotify.com/track/1jdSQIHOSFxVqDSsSDTM8m
97,"PAROLA - feat. Lazza, Emis Killa",Giaime,403793,https://open.spotify.com/track/4XxQOwmNM0DF3bKafSJBNw
98,Sultant' a mia,Rocco Hunt,403749,https://open.spotify.com/track/0oa20Wmd4liIjOKS4y5TKB
99,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,403204,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
100,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,400759,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
101,Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,399352,https://open.spotify.com/track/5g3lnGtMq0m30T6xHElZqJ
102,MA IL CIELO E' SEMPRE BLU (ITALIANSTARS4LIFE),ITALIAN ALLSTARS 4 LIFE,396342,https://open.spotify.com/track/2xqyJa4BRzrEM4HQVgeazW
103,Arrogante,Irama,395884,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
104,FCK U (feat. Madame),PSICOLOGI,394773,https://open.spotify.com/track/2UmjncBZmtyf9M92Q4va1k
105,Someone You Loved,Lewis Capaldi,394637,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
106,WANNABE VOL. 3,Highsnob,394128,https://open.spotify.com/track/7hGMh0mpoxgju622XPhgEc
107,Lose Control,MEDUZA,390045,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
108,JAMBO,Takagi & Ketra,387479,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
109,Ride It,Regard,387465,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
110,"Cracovia, Pt. 3",Il Tre,385609,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
111,"Aria (feat. Fabri Fibra) - prod. Kanesh, Yves The Male",Dani Faiv,383894,https://open.spotify.com/track/2I58YnM7LgGkfHMXydSexz
112,Ora che ti guardo bene,Gazzelle,381581,https://open.spotify.com/track/25rH6l9UjJaLu4Ckxku8XT
113,È sempre bello,Coez,377866,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
114,SCACCIACANI,Ketama126,376785,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
115,Rossetto,Random,376636,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
116,Polo nord - C+N Progressive Mix,Massimo Pericolo,374553,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
117,In peggio - prod. Strage,Dani Faiv,372645,https://open.spotify.com/track/36jzkozloE2nFefpcJUw32
118,Non Avere Paura,Tommaso Paradiso,370663,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
119,RITMO (Bad Boys For Life),Black Eyed Peas,364813,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
120,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,363884,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
121,Ostia Lido,J-AX,363861,https://open.spotify.com/track/4WJ1fu0RntmhYGkP9IWTVL
122,Allora ciao,Shade,362558,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
123,Margarita (con Marracash),Elodie,362237,https://open.spotify.com/track/6KfwIpX0Xo0lelmuUOnyZV
124,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE,358391,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
125,Per Un Milione,Boomdabash,358235,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
126,Tutto Questo Sei Tu,Ultimo,357510,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
127,Savage,Megan Thee Stallion,357037,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
128,Piccola Stella,Ultimo,355809,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
