,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,blun7 a swishland,tha Supreme,2759917,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,fuck 3x,tha Supreme,1794877,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
3,Dance Monkey,Tones And I,1758744,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1551080,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
5,ANSIA NO,FSK SATELLITE,1548224,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
6,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1487094,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
7,CRUDELIA - I nervi,Marracash,1381504,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
8,Tutto Questo Sei Tu,Ultimo,1242660,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
9,RITMO (Bad Boys For Life),Black Eyed Peas,1204010,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,BRAVI A CADERE - I polmoni,Marracash,1192073,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
11,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1178747,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
12,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1171739,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
13,Falling,Trevor Daniel,1108007,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,Chiasso,Random,1067670,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
15,Holly & Benji (feat. Capo Plaza & Shiva),AVA,1006515,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
16,Memories,Maroon 5,1005462,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
17,Cin Cin,Alfa,969019,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
18,Non Avere Paura,Tommaso Paradiso,954595,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
19,Una volta ancora (feat. Ana Mena),Fred De Palma,927655,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
20,Barrio,Mahmood,921213,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
21,ROXANNE,Arizona Zervas,917577,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
22,m12ano - feat. Mara Sattei,tha Supreme,901404,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
23,Don't Start Now,Dua Lipa,897039,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
24,sw1n6o - feat. Salmo,tha Supreme,868003,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
25,Bossoli,Shiva,857056,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
26,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,856969,https://open.spotify.com/track/4z6l90HzhLLCd0hWddzbrh
27,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,849024,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
28,Ayy Macarena,Tyga,846148,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
29,Yummy,Justin Bieber,822126,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
30,Il tuo profumo,Fred De Palma,768492,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
