,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,Calmo,Shiva,3180154,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
2,blun7 a swishland,tha Supreme,2459310,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
3,Boogieman (feat. Salmo),Ghali,1941808,https://open.spotify.com/track/7awUp2mRP7xjX9wBKhuwRu
4,ANSIA NO,FSK SATELLITE,1913470,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
5,fuck 3x,tha Supreme,1635012,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
6,Dance Monkey,Tones And I,1619862,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,Boss,Paky,1604595,https://open.spotify.com/track/4ijux7JMNY2IpBtTsuYrK4
8,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1517074,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
9,Stu core t'apparten,Rocco Hunt,1400273,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
10,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1347236,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
11,Rapide,Mahmood,1314552,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
12,BRAVI A CADERE - I polmoni,Marracash,1310728,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
13,CRUDELIA - I nervi,Marracash,1278073,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
14,Godzilla (feat. Juice WRLD),Eminem,1258515,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,Falling,Trevor Daniel,1187562,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,Tutto Questo Sei Tu,Ultimo,1160877,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
17,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1120486,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
18,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1107368,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
19,Allora ciao,Shade,1089907,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
20,RITMO (Bad Boys For Life),Black Eyed Peas,1078753,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
21,Che Poi,Carl Brave,1061574,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
22,Blinding Lights,The Weeknd,992923,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
23,ROXANNE,Arizona Zervas,979468,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
24,Holly & Benji (feat. Capo Plaza & Shiva),AVA,918775,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
25,Don't Start Now,Dua Lipa,914659,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
26,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,903371,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
27,Chiasso,Random,889682,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
28,Memories,Maroon 5,882967,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,Non Avere Paura,Tommaso Paradiso,875710,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
30,Una volta ancora (feat. Ana Mena),Fred De Palma,870874,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
31,La Mia Hit (feat. Max Pezzali),J-AX,854820,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
32,Il tuo profumo,Fred De Palma,829572,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
33,Bossoli,Shiva,821673,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
34,Cin Cin,Alfa,779736,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
35,Barrio,Mahmood,778664,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
36,Yummy,Justin Bieber,767975,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
37,Tusa,KAROL G,760964,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
38,Before You Go,Lewis Capaldi,757865,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,m12ano - feat. Mara Sattei,tha Supreme,757380,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
40,Rozzi,Paky,741724,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
41,GANG (feat. Geolier),Samurai Jay,737979,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
42,The Box,Roddy Ricch,736063,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
43,Ayy Macarena,Tyga,734662,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
44,sw1n6o - feat. Salmo,tha Supreme,731642,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
45,SCACCIACANI,Ketama126,720696,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
46,ENFASI,Sierra,719957,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
47,Polo nord - C+N Progressive Mix,Massimo Pericolo,719808,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
48,everything i wanted,Billie Eilish,710790,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
49,Piccola Stella,Ultimo,691995,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
50,Magnifico difetto,Benji & Fede,690407,https://open.spotify.com/track/0IKfkRzt3d1FoNla2dKi1J
51,Passala,Nayt,689153,https://open.spotify.com/track/2unWzSwKZkWQ4eYf823cEN
52,Lento,Boro Boro,673272,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
53,Rossetto,Random,664463,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
54,Candy,VillaBanks,664180,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch
55,MADAME - L'anima (feat. Madame),Marracash,661888,https://open.spotify.com/track/2wL96n9ToLGhekNTFrPhxj
56,Mon Fre - feat. Emis Killa,Shiva,648778,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
57,Lose Control,MEDUZA,641268,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
58,occh1 purpl3 - feat. Marracash,tha Supreme,632966,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
59,Twerk (con Boro Boro),MamboLosco,617392,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
60,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,611288,https://open.spotify.com/track/4z6l90HzhLLCd0hWddzbrh
61,LOVE BANDANA,Ketama126,603762,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
62,Dove e quando,Benji & Fede,580621,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK
63,NO SPIE,FSK SATELLITE,578165,https://open.spotify.com/track/2TxDcppMX95JQv9WB5rtuB
64,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE,570741,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
65,Que Calor (with J Balvin & El Alfa),Major Lazer,570136,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
66,I Nostri Anni,Tommaso Paradiso,569009,https://open.spotify.com/track/6MERAQtSWXt3EFnI6UjXGy
67,LA PROVA DEL CUOCO,FSK SATELLITE,559094,https://open.spotify.com/track/6VPcfYrO6oSYbEg6HTncDo
68,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,557808,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
69,Courmayeur,DJ Matrix,550541,https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB
70,Carillon (with Achille Lauro),Nahaze,547057,https://open.spotify.com/track/4uRx3SdWG2cNVfRNVPwHDS
71,La città,Mostro,545135,https://open.spotify.com/track/3yGDkCm10C69w97AEmaWxq
72,m8nstar,tha Supreme,544949,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
73,C'est La Vie,TY1,540159,https://open.spotify.com/track/5l93giGtSBNAJUVj8hPygt
74,Someone You Loved,Lewis Capaldi,534141,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
75,Tuta Black,Paky,532810,https://open.spotify.com/track/7yYegdhi4lwCPPmyROOr4O
76,Fuori E Dentro (feat. tha Supreme),Gemitaiz,524359,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
77,ch1 5ei te,tha Supreme,523744,https://open.spotify.com/track/0tRj4m46GRFrBS7IsbS0Gk
78,Vestiti D’Odio (con PSICOLOGI),Tredici Pietro,523735,https://open.spotify.com/track/3NLE4ioQE8aWxoJjk2IQTC
79,Ride It,Regard,518523,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
80,Circles,Post Malone,517898,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
81,È sempre bello,Coez,515393,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
82,Non Scherzare,Paky,496783,https://open.spotify.com/track/1mNVAw1vmiJWYmUiI6TFTv
83,Life Is Good (feat. Drake),Future,494998,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
84,Rondini Al Guinzaglio,Ultimo,494351,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
85,MI AMI O NO (feat. Capo Plaza),Giaime,484931,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY
86,Cadiamo insieme,Holden,484064,https://open.spotify.com/track/0EfhJLGrlSW4oqZFECvlmU
87,MELISSA P,FSK SATELLITE,483640,https://open.spotify.com/track/6Dc0dVdO1xJmEOadnhyPcS
88,scuol4,tha Supreme,480920,https://open.spotify.com/track/1V7hvLe3fpZTMoqKLkBDgW
89,bad guy,Billie Eilish,476815,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
90,FIORI,Giaime,475589,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP
91,90MIN,Salmo,470739,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
92,Per due che come noi,Brunori Sas,469791,https://open.spotify.com/track/6JXlccLNpK7F2XFwHuMy23
93,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,466519,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
94,oh 9od - feat. Nayt,tha Supreme,461099,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
95,Ostia Lido,J-AX,458415,https://open.spotify.com/track/4WJ1fu0RntmhYGkP9IWTVL
96,1990,Achille Lauro,458340,https://open.spotify.com/track/40vSLe0L3uOrK3tRTw9KYJ
97,no14 - feat. Dani Faiv,tha Supreme,457986,https://open.spotify.com/track/7KksdXBhdufqWDxGxyt4I7
98,I Tuoi Particolari,Ultimo,457789,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
99,Pianeti,Ultimo,452959,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
100,Cenere,Nashley,451487,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp
101,Non sto più in zona,Shiva,449892,https://open.spotify.com/track/2PQuj6TMxl5hcgMG30e2Ij
102,Sei bella come Roma,DANDY TURNER,445988,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
103,Muévelo,Nicky Jam,441661,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
104,"Cracovia, Pt. 3",Il Tre,436001,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
105,Señorita,Shawn Mendes,435934,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
106,CHEYENNE - feat. Charlie Charles,Francesca Michielin,433759,https://open.spotify.com/track/3tSiJqSOzHrp828XhPXkst
107,Per Un Milione,Boomdabash,432854,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
108,Margarita (con Marracash),Elodie,432137,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b
109,Ho Fatto Strada,Capo Plaza,426040,https://open.spotify.com/track/28ZiptPMVab1reyfj4hNwt
110,Amici,Massimo Pericolo,425093,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3
111,Nisciun' (feat. Geolier),Rocco Hunt,412199,https://open.spotify.com/track/6nUJr7wd4hiPBLjC8Db2Cr
112,Veleno 7,Gemitaiz,411008,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh
113,Na Na Na,Holden,408697,https://open.spotify.com/track/3arKLum0IMREFOSq3OkpaF
114,Arrogante,Irama,405995,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
115,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,405711,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
116,La hit dell'estate,Shade,403613,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
117,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,402855,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
118,Duemila volte,Marco Mengoni,396787,https://open.spotify.com/track/6IYrpbDnFljm6QSj1KGuZD
119,APPARTENGO - Il sangue (feat. Massimo Pericolo),Marracash,396766,https://open.spotify.com/track/2tpfOljBdskx8G331TjRps
120,48H (feat. Sfera Ebbasta),Izi,396385,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC
