,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
55,Che Poi,Carl Brave,459571,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
56,ROXANNE,Arizona Zervas,448572,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
57,"Sunday Best (Feeling Good, Like I Should)",Surfaces,447099,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
58,Blueberry Faygo,Lil Mosey,443813,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
59,"PAROLA - feat. Lazza, Emis Killa",Giaime,443241,https://open.spotify.com/track/4XxQOwmNM0DF3bKafSJBNw
60,Stu core t'apparten,Rocco Hunt,441388,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
61,Someone You Loved,Lewis Capaldi,433826,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
62,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,432689,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
63,Domani ci passa,Ludwig,431151,https://open.spotify.com/track/3elLXGwE5zaREuOzWdlRJ2
64,Non Avere Paura,Tommaso Paradiso,431072,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
65,Andromeda,Elodie,430359,https://open.spotify.com/track/4iceKk4reL0vg2yDwXxQNF
66,RITMO (Bad Boys For Life),Black Eyed Peas,420551,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
67,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,417743,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
68,Soldi in Nero - feat. Sfera Ebbasta,Shiva,410664,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
69,Lento,Boro Boro,410475,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
70,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,408349,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
71,Lose Control,MEDUZA,401108,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
72,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,391206,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
73,Bossoli,Shiva,388948,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
74,LOBBY WAY,Rosa Chemical,384270,https://open.spotify.com/track/5p9vv5ltLNvm7KJzlNgg9d
75,Piccola Stella,Ultimo,383507,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
76,RAP SHIT (feat. tha Supreme & Gemitaiz) - prod. STABBER,Nitro,376063,https://open.spotify.com/track/2Fbj0y0HEUKCZkUsI71PUx
77,In peggio - prod. Strage,Dani Faiv,375920,https://open.spotify.com/track/1ebQQD5Ws1eog2GRD5Zkpg
78,SCACCIACANI,Ketama126,375566,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
79,Polo nord - C+N Progressive Mix,Massimo Pericolo,370615,https://open.spotify.com/track/1Wbc0N0X1zkFqnKGcj8Quh
80,Say So,Doja Cat,366984,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
81,Astronomia,Vicetone,366640,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
82,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE,364686,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx
83,"KRIMINAL (feat. Guè Pequeno, Gemitaiz & Samurai Jay)",Shablo,363905,https://open.spotify.com/track/27aFwi2IT23cI7vckgG0s8
84,ROCKSTAR (feat. Roddy Ricch),DaBaby,359026,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
85,Mon Fre - feat. Emis Killa,Shiva,356774,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
86,È sempre bello,Coez,354379,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
87,Godzilla (feat. Juice WRLD),Eminem,351785,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
88,Barrio,Mahmood,350135,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
89,MALA SANTA,Becky G,348370,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
90,La Mia Hit (feat. Max Pezzali),J-AX,347556,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
91,La hit dell'estate,Shade,347454,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
92,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,347334,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
93,JAMBO,Takagi & Ketra,346688,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
94,GANG (feat. Geolier),Samurai Jay,345224,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
95,Per Un Milione,Boomdabash,341653,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
96,goosebumps,Travis Scott,341514,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
97,Il tuo profumo,Fred De Palma,341011,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
98,Ostia Lido,J-AX,340865,https://open.spotify.com/track/4WJ1fu0RntmhYGkP9IWTVL
99,Mambo Salentino,Boomdabash,338004,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
100,Margarita (con Marracash),Elodie,337764,https://open.spotify.com/track/0nuoIoKRckjudWUPWezzz6
101,Supalonely,BENEE,337220,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
102,m12ano - feat. Mara Sattei,tha Supreme,335380,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
103,MAMACITA,Black Eyed Peas,331021,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q
104,Me Gusta,Shakira,330948,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
105,Candy,VillaBanks,330553,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch
106,Chance (feat. Capo Plaza),Shiva,329486,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
107,Magnifico difetto,Benji & Fede,328216,https://open.spotify.com/track/0IKfkRzt3d1FoNla2dKi1J
108,Sei bella come Roma,DANDY TURNER,327692,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
109,Arrogante,Irama,324626,https://open.spotify.com/track/14lgKkkbNsJl9fItqnEfpV
110,ENFASI,Sierra,323962,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
111,90MIN,Salmo,320892,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
112,Rozzi,Paky,316349,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
113,Rossetto,Random,315800,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
114,Break My Heart,Dua Lipa,314498,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
115,On Gang,Thelonious B.,308318,https://open.spotify.com/track/4NR1cjgeRzp0KSTwqiJfWj
116,Memories,Maroon 5,308252,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
117,Regina Coeli,Carl Brave,307270,https://open.spotify.com/track/5Ajd1Pr5GkoBbdC1D43ysH
118,LOVE BANDANA,Ketama126,306054,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
119,SICKO MODE,Travis Scott,305772,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
120,"Alone, Pt. II",Alan Walker,304141,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
121,POLKA,Rosa Chemical,303690,https://open.spotify.com/track/20jG7WodtS52iOnWyGE1l4
122,Muévelo,Nicky Jam,301678,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
123,MADAME - L'anima (feat. Madame),Marracash,301243,https://open.spotify.com/track/3go5ZuMoFTKl5ugai8nAKi
124,Circles,Post Malone,298384,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
125,Cenere,Nashley,298148,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp
126,Señorita,Shawn Mendes,296242,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
127,HIGHEST IN THE ROOM,Travis Scott,296006,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
128,Intentions (feat. Quavo),Justin Bieber,294189,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
129,Twerk (con Boro Boro),MamboLosco,293795,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
130,Ride It,Regard,293134,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
131,In Your Eyes,The Weeknd,292768,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
132,m8nstar,tha Supreme,289998,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
133,bad guy,Billie Eilish,288725,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
134,Rondini Al Guinzaglio,Ultimo,286636,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
135,I Nostri Anni,Tommaso Paradiso,286521,https://open.spotify.com/track/6MERAQtSWXt3EFnI6UjXGy
136,I Don't Care (with Justin Bieber),Ed Sheeran,286125,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
137,Pianeti,Ultimo,285626,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
138,OPS,Mr.Rain,285019,https://open.spotify.com/track/4D2snxPPfeYhKeZnGlYioU
139,I Tuoi Particolari,Ultimo,284408,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
140,Holly & Benji (feat. Capo Plaza & Shiva),AVA,283896,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
141,sw1n6o - feat. Salmo,tha Supreme,277926,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
142,Uno squillo,Capo Plaza,277917,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
143,Playa,Baby K,277898,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
144,Veleno 7,Gemitaiz,276062,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh
145,CHIC (feat. Shiva),Giaime,275958,https://open.spotify.com/track/17XyV1RsHVYDmN90ysATZ2
146,Numb,Dotan,275659,https://open.spotify.com/track/2jmsqMQdKUfT95At7WcrNQ
147,Chic,Izi,275073,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
148,Que Calor (with J Balvin & El Alfa),Major Lazer,273816,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
149,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,271575,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
150,14,Jayred,271496,https://open.spotify.com/track/1veUzOYyrblgIzylvPzkAZ
151,occh1 purpl3 - feat. Marracash,tha Supreme,269812,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
152,Il bello dell'amico,Astra,269793,https://open.spotify.com/track/7tLBfOAgC2j3UWqeGgZ7G2
153,Supercalifragili (feat. Annalisa & Luca Di Stefano),J-AX,267966,https://open.spotify.com/track/6ExLQlakJDGUxN5O567dAt
154,22:22,Ghali,264647,https://open.spotify.com/track/73hTfGHBSYC8iI6He1optV
155,Fuori E Dentro (feat. tha Supreme),Gemitaiz,261529,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
156,Sole a mezzanotte,Gio Montana,260220,https://open.spotify.com/track/41wB7yyQG8YR284muocSv0
157,HO PAURA DI USCIRE 2 - prod. Mace,MACHETE,258918,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
158,D'estate non vale (feat. Ana Mena),Fred De Palma,257279,https://open.spotify.com/track/5IbiQAbMBe5T2K67mCAIx3
159,oh 9od - feat. Nayt,tha Supreme,257255,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
160,Life Is Good (feat. Drake),Future,256412,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
161,Buio di giorno,Frah Quintale,255363,https://open.spotify.com/track/6hKRtvWNzjrbZGqAWD7ffr
162,C'est la vie,Achille Lauro,255261,https://open.spotify.com/track/6qrzETcLAmhkNW5PbkwcJI
163,Don't Call Me Up,Mabel,255075,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
164,con me (feat. tha Supreme),Young Miles,254898,https://open.spotify.com/track/3Rak9PxrkDU2IGv4XThNQT
165,C'est La Vie,TY1,251521,https://open.spotify.com/track/5l93giGtSBNAJUVj8hPygt
166,Cadiamo insieme,Holden,251518,https://open.spotify.com/track/0EfhJLGrlSW4oqZFECvlmU
167,MARYLEAN (feat. Marracash) - prod. Low Kidd,MACHETE,251478,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
168,Autostima,PSICOLOGI,251333,https://open.spotify.com/track/5qf1k7zubHxjR3uinHmIKg
169,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,250142,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
