,Position,Track Name,Artist,Streams,Week,Month,Year
0,1,Toosie Slide,Drake,16560687,1,April,2020
1,2,The Box,Roddy Ricch,10147636,1,April,2020
2,3,Blinding Lights,The Weeknd,10108556,1,April,2020
3,4,Blueberry Faygo,Lil Mosey,10026095,1,April,2020
4,5,FIND MY WAY,DaBaby,6782424,1,April,2020
5,6,Roses - Imanbek Remix,SAINt JHN,6711902,1,April,2020
6,7,Don't Start Now,Dua Lipa,6471152,1,April,2020
7,8,WHATS POPPIN,Jack Harlow,6390818,1,April,2020
8,9,Say So,Doja Cat,6105460,1,April,2020
9,10,Savage,Megan Thee Stallion,6024206,1,April,2020
10,11,death bed (coffee for your head),Powfu,5767755,1,April,2020
11,12,Turks (feat. Travis Scott),NAV,5646010,1,April,2020
12,13,Intentions (feat. Quavo),Justin Bieber,5135778,1,April,2020
13,14,Life Is Good (feat. Drake),Future,4999782,1,April,2020
14,15,High Fashion (feat. Mustard),Roddy Ricch,4936637,1,April,2020
15,16,Walk Em Down (feat. Roddy Ricch),NLE Choppa,4863678,1,April,2020
16,17,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4824543,1,April,2020
17,18,Circles,Post Malone,4816138,1,April,2020
18,19,Falling,Trevor Daniel,4718130,1,April,2020
19,20,ROXANNE,Arizona Zervas,4708133,1,April,2020
20,21,In Your Eyes,The Weeknd,4546497,1,April,2020
21,22,Adore You,Harry Styles,4246941,1,April,2020
22,23,Supalonely,BENEE,4231481,1,April,2020
23,24,P2,Lil Uzi Vert,4203645,1,April,2020
24,25,Dance Monkey,Tones And I,4035082,1,April,2020
25,26,Godzilla (feat. Juice WRLD),Eminem,4023091,1,April,2020
26,27,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,4007622,1,April,2020
27,28,Myron,Lil Uzi Vert,3923668,1,April,2020
28,29,That Way - Bonus Track,Lil Uzi Vert,3849717,1,April,2020
29,30,Break My Heart,Dua Lipa,3720734,1,April,2020
30,31,After Hours,The Weeknd,3675617,1,April,2020
31,32,Ballin' (with Roddy Ricch),Mustard,3644276,1,April,2020
32,33,BELIEVE IT,PARTYNEXTDOOR,3638960,1,April,2020
33,34,Heartless,The Weeknd,3454046,1,April,2020
34,35,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3439974,1,April,2020
35,36,Someone You Loved,Lewis Capaldi,3412543,1,April,2020
36,37,PTSD,G Herbo,3412372,1,April,2020
37,38,hot girl bummer,blackbear,3339261,1,April,2020
38,39,Boss Bitch,Doja Cat,3228522,1,April,2020
39,40,BOP,DaBaby,3175647,1,April,2020
40,41,everything i wanted,Billie Eilish,3164196,1,April,2020
41,42,Yo Perreo Sola,Bad Bunny,3158920,1,April,2020
42,43,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,3154732,1,April,2020
43,44,Bandit (with YoungBoy Never Broke Again),Juice WRLD,3150122,1,April,2020
44,45,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,3139548,1,April,2020
45,46,Lucid Dreams,Juice WRLD,3061866,1,April,2020
46,47,Heart On Ice,Rod Wave,2883776,1,April,2020
47,48,Woah,Lil Baby,2830050,1,April,2020
48,49,Lo Mein,Lil Uzi Vert,2814550,1,April,2020
49,50,If the World Was Ending - feat. Julia Michaels,JP Saxe,2798130,1,April,2020
50,51,CITY OF ANGELS,24kGoldn,2753289,1,April,2020
51,52,Safaera,Bad Bunny,2737967,1,April,2020
52,53,Suicidal,YNW Melly,2727368,1,April,2020
53,54,OUT WEST (feat. Young Thug),JACKBOYS,2660549,1,April,2020
54,55,Robbery,Juice WRLD,2639591,1,April,2020
55,56,Physical,Dua Lipa,2636015,1,April,2020
56,57,Cruel Intentions,Delacey,2575552,1,April,2020
57,58,"10,000 Hours (with Justin Bieber)",Dan + Shay,2525672,1,April,2020
58,59,Skechers,DripReport,2492637,1,April,2020
59,60,Sum 2 Prove,Lil Baby,2480952,1,April,2020
60,61,My Oh My (feat. DaBaby),Camila Cabello,2467502,1,April,2020
61,62,bad guy,Billie Eilish,2446189,1,April,2020
62,63,Broke In A Minute,Tory Lanez,2430980,1,April,2020
63,64,All Girls Are The Same,Juice WRLD,2425968,1,April,2020
64,65,You should be sad,Halsey,2424709,1,April,2020
65,66,lovely (with Khalid),Billie Eilish,2388328,1,April,2020
66,67,Baby Pluto,Lil Uzi Vert,2387060,1,April,2020
67,68,Dear April (Side A - Acoustic),Frank Ocean,2381039,1,April,2020
68,69,I'll Wait,Kygo,2362197,1,April,2020
69,70,Save Your Tears,The Weeknd,2360507,1,April,2020
70,71,Selfish,Madison Beer,2357768,1,April,2020
71,72,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,2354547,1,April,2020
72,73,Money In The Grave (Drake ft. Rick Ross),Drake,2324705,1,April,2020
73,74,HIGHEST IN THE ROOM,Travis Scott,2306537,1,April,2020
74,75,Moral of the Story,Ashe,2288396,1,April,2020
75,76,Memories,Maroon 5,2276850,1,April,2020
76,77,Jocelyn Flores,XXXTENTACION,2263584,1,April,2020
77,78,Ransom,Lil Tecca,2237540,1,April,2020
78,79,SUGAR,BROCKHAMPTON,2231796,1,April,2020
79,80,when the party's over,Billie Eilish,2209567,1,April,2020
80,81,Tycoon,Future,2179100,1,April,2020
81,82,Before You Go,Lewis Capaldi,2170765,1,April,2020
82,83,Heatin Up (feat. Gunna),Lil Baby,2144484,1,April,2020
83,84,Chasin' You,Morgan Wallen,2138072,1,April,2020
84,85,Like That (feat. Gucci Mane),Doja Cat,2121493,1,April,2020
85,86,Maniac,Conan Gray,2119090,1,April,2020
86,87,SAD!,XXXTENTACION,2112025,1,April,2020
87,88,Suge,DaBaby,2111406,1,April,2020
88,89,Cayendo (Side A - Acoustic),Frank Ocean,2098001,1,April,2020
