,Position,Track Name,Artist,Streams,Week,Month,Year
104,105,Happy Now,Kygo,186406,1,January,2020
105,106,Forgive Me Friend (feat. Swedish Jam Factory),Smith & Thell,185439,1,January,2020
106,107,Hotel Walls,Smith & Thell,183714,1,January,2020
107,108,Bandit (with YoungBoy Never Broke Again),Juice WRLD,181255,1,January,2020
108,109,Don't Stop Believin',Journey,181042,1,January,2020
109,110,lovely (with Khalid),Billie Eilish,180965,1,January,2020
110,111,Hon dansar vidare i livet,Hov1,178394,1,January,2020
111,112,Det går bra nu,Magnus Uggla,177987,1,January,2020
112,113,Min Nivå,Einár,177485,1,January,2020
113,114,Nasty Thug,Dizzy,177221,1,January,2020
114,115,Don't Call Me Up,Mabel,177201,1,January,2020
115,116,Be Alright,Dean Lewis,176812,1,January,2020
116,117,Old Town Road - Remix,Lil Nas X,176771,1,January,2020
117,118,Fyller,Z.E,176667,1,January,2020
118,119,bury a friend,Billie Eilish,175430,1,January,2020
119,120,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,173279,1,January,2020
120,121,Play,K-391,172515,1,January,2020
121,122,Vårt år,estraden,171524,1,January,2020
122,123,På egna ben,Magnus Uggla,171072,1,January,2020
123,124,ANNA BOOK,Frej Larsson,169666,1,January,2020
124,125,Lose Control,MEDUZA,168864,1,January,2020
125,126,Den som e den,Molly Sandén,166768,1,January,2020
126,127,Dö ung,Hov1,166361,1,January,2020
127,128,Händerna mot himlen,Petra Marklund,164594,1,January,2020
128,129,High Hopes,Panic! At The Disco,163719,1,January,2020
129,130,Sweettalk my Heart,Tove Lo,163672,1,January,2020
130,131,KAPABEL 2,Dree Low,163392,1,January,2020
131,132,Solen har gått ner,Veronica Maggio,162860,1,January,2020
132,133,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,162838,1,January,2020
133,134,7 rings,Ariana Grande,158251,1,January,2020
134,135,I Do,Arvingarna,158247,1,January,2020
135,136,Too Late For Love,John Lundvik,157769,1,January,2020
