,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",9144643,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Mood (feat. iann dior)",24kGoldn,8780080,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,Runnin,"21 Savage",8713712,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
4,"Mr. Right Now (feat. Drake)","21 Savage",8639420,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
5,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",7914498,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
6,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7694109,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
7,"Laugh Now Cry Later (feat. Lil Durk)",Drake,7456639,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
8,"Glock In My Lap","21 Savage",6196066,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
9,Wonder,"Shawn Mendes",5682019,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
10,"Holy (feat. Chance The Rapper)","Justin Bieber",5335610,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
11,"Dreams - 2004 Remaster","Fleetwood Mac",5308749,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
12,"What You Know Bout Love","Pop Smoke",5293080,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
13,"Rich Nigga Shit (feat. Young Thug)","21 Savage",5274717,https://open.spotify.com/track/3ruoIF2UnoXdzK8mR61ebq
14,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,5019296,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,"Many Men","21 Savage",4943214,https://open.spotify.com/track/3CDVMejYHnB1SkEEx0T1N4
16,Slidin,"21 Savage",4832891,https://open.spotify.com/track/7fxSLnklnayJNBIKntXedZ
17,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",4807954,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
18,"Wishing Well","Juice WRLD",4747825,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
19,Dynamite,BTS,4738523,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
20,"Come & Go (with Marshmello)","Juice WRLD",4727724,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
21,"Blinding Lights","The Weeknd",4563469,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"my ex's best friend (with blackbear)","Machine Gun Kelly",4529618,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
23,"POPSTAR (feat. Drake)","DJ Khaled",4510495,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
24,Heather,"Conan Gray",4509346,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
25,"Watermelon Sugar","Harry Styles",4019414,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
26,"Bet You Wanna (feat. Cardi B)",BLACKPINK,4006689,https://open.spotify.com/track/7iAgNZdotu40NwtoIWJHFe
27,"Lovesick Girls",BLACKPINK,3953974,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
28,"Put Your Records On","Ritt Momney",3883433,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
29,"you broke me first","Tate McRae",3755108,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
30,"Outta Time (feat. Drake)","Bryson Tiller",3710964,https://open.spotify.com/track/4SCnCPOUOUXUmCX2uHb3r7
31,"Blueberry Faygo","Lil Mosey",3704071,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
32,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",3560595,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
