,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",13973559,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Baby Pluto","Lil Uzi Vert",13066541,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
3,"That Way - Bonus Track","Lil Uzi Vert",11709004,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
4,P2,"Lil Uzi Vert",11392465,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
5,"Lo Mein","Lil Uzi Vert",11302903,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
6,"Silly Watch","Lil Uzi Vert",10568433,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
7,Homecoming,"Lil Uzi Vert",8918334,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj
8,"Blueberry Faygo","Lil Mosey",8507559,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Blinding Lights","The Weeknd",8340706,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,Prices,"Lil Uzi Vert",8141579,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn
11,"I'm Sorry","Lil Uzi Vert",8104607,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c
12,"Say So","Doja Cat",7614463,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,POP,"Lil Uzi Vert",7501164,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN
14,"Celebration Station","Lil Uzi Vert",7236905,https://open.spotify.com/track/25B5fGr9K0VdZJiRFsnMO4
15,"Intentions (feat. Quavo)","Justin Bieber",7179199,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,"Bigger Than Life","Lil Uzi Vert",6979576,https://open.spotify.com/track/2oHDJHNondITqbl8xZ9vPn
17,Venetia,"Lil Uzi Vert",6974452,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT
18,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",6930370,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
19,"You Better Move","Lil Uzi Vert",6911717,https://open.spotify.com/track/6YAxCn4juTWn5hWl2hzHGw
20,"Life Is Good (feat. Drake)",Future,6653567,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
21,ROXANNE,"Arizona Zervas",6460260,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
22,"High Fashion (feat. Mustard)","Roddy Ricch",6340368,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
23,"Don't Start Now","Dua Lipa",6287047,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
24,"La Difícil","Bad Bunny",6265355,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
25,"WHATS POPPIN","Jack Harlow",6239223,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
26,Circles,"Post Malone",6157052,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
27,"Chrome Heart Tags","Lil Uzi Vert",5946189,https://open.spotify.com/track/46mT9NR7N9Zf5MolcrBgE3
28,Falling,"Trevor Daniel",5651297,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
29,"Bust Me","Lil Uzi Vert",5643263,https://open.spotify.com/track/4wBcaYqLPm7EtDVoJQORU4
30,"Godzilla (feat. Juice WRLD)",Eminem,5397883,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
31,"Si Veo a Tu Mamá","Bad Bunny",5292230,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
32,"Sunday Best (Feeling Good, Like I Should)",Surfaces,5136659,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
33,"Dance Monkey","Tones And I",5114482,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,"Secure The Bag","Lil Uzi Vert",5043082,https://open.spotify.com/track/7gHZGXSJzM29WA384suYY2
35,"I Love Me","Demi Lovato",5003547,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
36,"Adore You","Harry Styles",4895706,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
37,Ignorantes,"Bad Bunny",4821078,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
38,"B.S. (feat. H.E.R.)","Jhené Aiko",4732551,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
39,"death bed (coffee for your head)",Powfu,4562490,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
40,"Ballin' (with Roddy Ricch)",Mustard,4557480,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
41,"After Hours","The Weeknd",4463168,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
42,Supalonely,BENEE,4434052,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
43,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",4423256,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
44,"Urgency (feat. Syd)","Lil Uzi Vert",4381965,https://open.spotify.com/track/5KlPy74NOEAt8jC3FYURnQ
45,Woah,"Lil Baby",4185608,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
46,Suicidal,"YNW Melly",4180829,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
47,BOP,DaBaby,4150081,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
48,"Stupid Love","Lady Gaga",4053822,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
49,Safaera,"Bad Bunny",4041249,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
50,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4035036,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
51,"everything i wanted","Billie Eilish",4001553,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
52,"hot girl bummer",blackbear,3955825,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
53,"La Santa","Bad Bunny",3949157,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
54,"Heatin Up (feat. Gunna)","Lil Baby",3942029,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
55,"You should be sad",Halsey,3919854,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
56,Vete,"Bad Bunny",3873346,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
57,"Someone You Loved","Lewis Capaldi",3798461,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
58,SKYBOX,Gunna,3739729,https://open.spotify.com/track/7GwYENSg87oERcW0Wacd6m
59,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",3730162,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
