,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",19937887,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Life Is Good (feat. Drake)",Future,12210480,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
3,"Godzilla (feat. Juice WRLD)",Eminem,9082219,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
4,ROXANNE,"Arizona Zervas",8076667,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,"Blinding Lights","The Weeknd",7228787,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Falling,"Trevor Daniel",7077724,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Circles,"Post Malone",6803998,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"everything i wanted","Billie Eilish",6775350,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,Suicidal,"YNW Melly",6739978,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
10,"High Fashion (feat. Mustard)","Roddy Ricch",6611778,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
11,BOP,DaBaby,6439159,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
12,"Dance Monkey","Tones And I",6244173,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Don't Start Now","Dua Lipa",6206002,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
14,"Ballin' (with Roddy Ricch)",Mustard,6032185,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
15,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",5731696,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
16,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",5724253,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
17,Yummy,"Justin Bieber",5243485,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
18,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,5175338,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
19,"Say So","Doja Cat",5104255,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
20,"You should be sad",Halsey,4998787,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
21,SUGAR,BROCKHAMPTON,4741965,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
