,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,9137331,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Party Girl",StaySolidRocky,8299048,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
3,"Blinding Lights","The Weeknd",7106720,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Blueberry Faygo","Lil Mosey",7031241,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
5,"The Bigger Picture","Lil Baby",7003129,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
6,"THE SCOTTS","THE SCOTTS",6667886,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,"WHATS POPPIN","Jack Harlow",6196835,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
8,"Watermelon Sugar","Harry Styles",6054204,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
9,"The Box","Roddy Ricch",5798161,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
10,"Toosie Slide",Drake,5772529,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Rain On Me (with Ariana Grande)","Lady Gaga",5456341,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
12,"Roses - Imanbek Remix","SAINt JHN",5310932,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",5254046,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
14,"After Party","Don Toliver",4834819,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
15,"GO (feat. Juice WRLD)","The Kid LAROI",4770964,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
16,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4731321,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
17,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",4600464,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
18,"TROLLZ (with Nicki Minaj)",6ix9ine,4479824,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
19,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4471121,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
20,"death bed (coffee for your head)",Powfu,4387089,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Intentions (feat. Quavo)","Justin Bieber",4311045,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
22,"Life Is Good (feat. Drake)",Future,4146197,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
23,GOOBA,6ix9ine,4066671,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
24,Circles,"Post Malone",3991640,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
25,"Chicago Freestyle (feat. Giveon)",Drake,3961451,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
26,"Shotta Flow 5","NLE Choppa",3934063,https://open.spotify.com/track/1orjH4IkSH9VrWmRCToKV8
27,"ROCKSTAR (feat. Roddy Ricch) - BLM REMIX",DaBaby,3801981,https://open.spotify.com/track/4Aykm3xrOFSHrAnv80KUhh
28,"Don't Start Now","Dua Lipa",3754545,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
29,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3689030,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
30,ROXANNE,"Arizona Zervas",3600085,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,"Deep End Freestyle","Sleepy Hallow",3577082,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
32,"Stuck with U (with Justin Bieber)","Ariana Grande",3570753,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
33,"Break My Heart","Dua Lipa",3552321,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
34,Supalonely,BENEE,3544257,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
35,Falling,"Trevor Daniel",3510769,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
36,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,3501807,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
37,Righteous,"Juice WRLD",3464880,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
38,"Adore You","Harry Styles",3393021,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
39,goosebumps,"Travis Scott",3364617,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
40,"HIGHEST IN THE ROOM","Travis Scott",3241449,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
41,"Flex (feat. Juice WRLD)","Polo G",3224900,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
42,"Lucid Dreams","Juice WRLD",3217285,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
43,"hot girl bummer",blackbear,3169533,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
44,Myron,"Lil Uzi Vert",3142341,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
45,"Ballin' (with Roddy Ricch)",Mustard,3141783,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
46,"Emotionally Scarred","Lil Baby",3118800,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
47,"Be Kind (with Halsey)",Marshmello,3047010,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
48,"High Fashion (feat. Mustard)","Roddy Ricch",3046524,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
49,"Make It Rain","Pop Smoke",3046089,https://open.spotify.com/track/4TgHt7vKCimpywaiKfl0uj
50,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2997742,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
