,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,16560687,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"The Box","Roddy Ricch",10147636,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Blinding Lights","The Weeknd",10108556,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Blueberry Faygo","Lil Mosey",10026095,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
5,"FIND MY WAY",DaBaby,6782424,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
6,"Roses - Imanbek Remix","SAINt JHN",6711902,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,"Don't Start Now","Dua Lipa",6471152,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
8,"WHATS POPPIN","Jack Harlow",6390818,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
9,"Say So","Doja Cat",6105460,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,Savage,"Megan Thee Stallion",6024206,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
11,"death bed (coffee for your head)",Powfu,5767755,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,"Turks (feat. Travis Scott)",NAV,5646010,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
13,"Intentions (feat. Quavo)","Justin Bieber",5135778,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,"Life Is Good (feat. Drake)",Future,4999782,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
15,"High Fashion (feat. Mustard)","Roddy Ricch",4936637,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
16,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4863678,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
17,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4824543,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,Circles,"Post Malone",4816138,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,Falling,"Trevor Daniel",4718130,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
20,ROXANNE,"Arizona Zervas",4708133,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
21,"In Your Eyes","The Weeknd",4546497,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
22,"Adore You","Harry Styles",4246941,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,Supalonely,BENEE,4231481,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
24,P2,"Lil Uzi Vert",4203645,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
25,"Dance Monkey","Tones And I",4035082,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,"Godzilla (feat. Juice WRLD)",Eminem,4023091,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
