,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,12704036,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blueberry Faygo","Lil Mosey",9810213,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
3,"Blinding Lights","The Weeknd",9542185,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"The Box","Roddy Ricch",9413533,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Roses - Imanbek Remix","SAINt JHN",6682276,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"WHATS POPPIN","Jack Harlow",6211241,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
7,"Say So","Doja Cat",5988910,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,"Don't Start Now","Dua Lipa",5970144,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
9,"death bed (coffee for your head)",Powfu,5688823,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
10,Savage,"Megan Thee Stallion",5682361,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
11,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4852157,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
12,"Life Is Good (feat. Drake)",Future,4851387,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
13,"Intentions (feat. Quavo)","Justin Bieber",4835947,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4759474,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
15,"Level of Concern","Twenty One Pilots",4721238,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
16,"High Fashion (feat. Mustard)","Roddy Ricch",4706977,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
17,Circles,"Post Malone",4700424,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,Falling,"Trevor Daniel",4509939,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
19,"FIND MY WAY",DaBaby,4483216,https://open.spotify.com/track/1lGHa2pwYzxQHFBUynhLtO
20,"Turks (feat. Travis Scott)",NAV,4466012,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
21,ROXANNE,"Arizona Zervas",4451845,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
22,"Adore You","Harry Styles",4096177,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,Supalonely,BENEE,3975344,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
24,"In Your Eyes","The Weeknd",3974346,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
25,P2,"Lil Uzi Vert",3940443,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
26,Myron,"Lil Uzi Vert",3857325,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
27,"Dance Monkey","Tones And I",3755149,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
28,"Godzilla (feat. Juice WRLD)",Eminem,3738890,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
29,"Ballin' (with Roddy Ricch)",Mustard,3671748,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
30,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",3613384,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
31,"Break My Heart","Dua Lipa",3597438,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
32,"That Way - Bonus Track","Lil Uzi Vert",3501594,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
33,"Broke In A Minute","Tory Lanez",3439830,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
34,PTSD,"G Herbo",3404838,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
35,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3349349,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
36,"Someone You Loved","Lewis Capaldi",3325183,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,"Stupid Again","Tory Lanez",3292286,https://open.spotify.com/track/1fPnUpoXCpD2NDI4vPVeLw
38,Boyfriend,"Selena Gomez",3246729,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
39,"Boss Bitch","Doja Cat",3213984,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
40,"hot girl bummer",blackbear,3189108,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
41,"After Hours","The Weeknd",3161089,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
42,"Lucid Dreams","Juice WRLD",3048072,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
43,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",3046272,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
44,"everything i wanted","Billie Eilish",3022538,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
45,BOP,DaBaby,3021857,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
46,"Yo Perreo Sola","Bad Bunny",2895654,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
47,Heartless,"The Weeknd",2835493,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
48,"BELIEVE IT",PARTYNEXTDOOR,2819637,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
49,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2814503,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
50,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",2740076,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
51,"CITY OF ANGELS",24kGoldn,2717615,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
52,"Heart On Ice","Rod Wave",2669049,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
53,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",2590161,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
54,Robbery,"Juice WRLD",2563733,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
55,Suicidal,"YNW Melly",2547377,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
56,"OUT WEST (feat. Young Thug)",JACKBOYS,2537192,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
57,Skechers,DripReport,2514808,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
58,Safaera,"Bad Bunny",2511606,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
59,"Lo Mein","Lil Uzi Vert",2456839,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
60,Woah,"Lil Baby",2436273,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
61,Selfish,"Madison Beer",2407174,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
62,"All Girls Are The Same","Juice WRLD",2406769,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
63,"10,000 Hours (with Justin Bieber)","Dan + Shay",2372268,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
64,"lovely (with Khalid)","Billie Eilish",2372257,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
65,"bad guy","Billie Eilish",2347729,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
66,"My Oh My (feat. DaBaby)","Camila Cabello",2312744,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
67,"Jocelyn Flores",XXXTENTACION,2293009,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
68,"HIGHEST IN THE ROOM","Travis Scott",2282690,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
69,DND,"Polo G",2273951,https://open.spotify.com/track/7sMu0DXeCVYwTivw9kBl99
70,"Money In The Grave (Drake ft. Rick Ross)",Drake,2230564,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
71,Physical,"Dua Lipa",2217682,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
72,"Before You Go","Lewis Capaldi",2197739,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
73,Ransom,"Lil Tecca",2184145,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
74,"when the party's over","Billie Eilish",2160301,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
75,Memories,"Maroon 5",2160084,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
76,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",2156509,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
77,"Moral of the Story",Ashe,2147717,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
78,SUGAR,BROCKHAMPTON,2133329,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
79,"Baby Pluto","Lil Uzi Vert",2126926,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
80,"You should be sad",Halsey,2124804,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
81,"Like That (feat. Gucci Mane)","Doja Cat",2105013,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
82,"SLOW DANCING IN THE DARK",Joji,2089272,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
83,SAD!,XXXTENTACION,2088196,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
84,"Chasin' You","Morgan Wallen",2085678,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
85,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2047851,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
86,"Cruel Intentions",Delacey,2021905,https://open.spotify.com/track/5M98ml69pyn28o5XvAUN0r
87,"Heatin Up (feat. Gunna)","Lil Baby",2001741,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
88,"No Idea","Don Toliver",2001024,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
89,"Sum 2 Prove","Lil Baby",1995151,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
90,July,"Noah Cyrus",1993134,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
