,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Play Date","Melanie Martinez",3124939,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
56,PTSD,"G Herbo",3102920,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
57,"Dance Monkey","Tones And I",3090314,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
58,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",3080055,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
59,"Godzilla (feat. Juice WRLD)",Eminem,3063272,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
60,"In Your Eyes","The Weeknd",3044290,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
61,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2982149,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2851257,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
63,BOP,DaBaby,2833919,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
64,"@ MEH","Playboi Carti",2815582,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe
65,"Yo Perreo Sola","Bad Bunny",2790749,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
66,"Broke In A Minute","Tory Lanez",2740127,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
67,"everything i wanted","Billie Eilish",2733209,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
68,"Six Feet Apart","Luke Combs",2713029,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V
69,"FIND MY WAY",DaBaby,2693525,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
70,Robbery,"Juice WRLD",2672694,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
71,"Before You Go","Lewis Capaldi",2566134,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
72,"That Way - Bonus Track","Lil Uzi Vert",2527465,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
73,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",2475677,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
74,"All Girls Are The Same","Juice WRLD",2431482,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
75,Selfish,"Madison Beer",2431354,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
76,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2417552,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
77,Safaera,"Bad Bunny",2386886,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
78,"We Paid (feat. 42 Dugg)","Lil Baby",2367892,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
79,"Heart On Ice","Rod Wave",2351256,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
80,"CITY OF ANGELS",24kGoldn,2345080,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
81,"Money In The Grave (Drake ft. Rick Ross)",Drake,2283345,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
82,"10,000 Hours (with Justin Bieber)","Dan + Shay",2280928,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
83,Woah,"Lil Baby",2273415,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
84,"OUT WEST (feat. Young Thug)",JACKBOYS,2268359,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
85,"bad guy","Billie Eilish",2264822,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
86,"Level of Concern","Twenty One Pilots",2256119,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
87,"Whiskey Glasses","Morgan Wallen",2246559,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
88,"lovely (with Khalid)","Billie Eilish",2237488,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
89,"Chasin' You","Morgan Wallen",2229868,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
90,"I’m Ready (with Demi Lovato)","Sam Smith",2221415,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
91,Heartless,"The Weeknd",2200314,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
92,"Beautiful Crazy","Luke Combs",2176128,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
93,"Jocelyn Flores",XXXTENTACION,2168288,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
94,"You should be sad",Halsey,2158585,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
95,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",2153965,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
96,"I Hope","Gabby Barrett",2137120,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
97,Ransom,"Lil Tecca",2091854,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
98,Skechers,DripReport,2086510,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
99,"Like That (feat. Gucci Mane)","Doja Cat",2066610,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
100,Suicidal,"YNW Melly",2065687,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
101,"My Oh My (feat. DaBaby)","Camila Cabello",2044296,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
102,"SLOW DANCING IN THE DARK",Joji,2040451,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
103,"Heatin Up (feat. Gunna)","Lil Baby",2038599,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
104,Memories,"Maroon 5",2025761,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
105,"when the party's over","Billie Eilish",2020853,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
106,SAD!,XXXTENTACION,2009028,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
107,"MIDDLE CHILD","J. Cole",1984669,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
108,Wow.,"Post Malone",1965208,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
109,"Sum 2 Prove","Lil Baby",1953461,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
110,"No Idea","Don Toliver",1942691,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
111,July,"Noah Cyrus",1939107,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
112,"Watermelon Sugar","Harry Styles",1933680,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
113,Suge,DaBaby,1929775,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
114,"Lo Mein","Lil Uzi Vert",1923348,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
115,"Goodbyes (Feat. Young Thug)","Post Malone",1915401,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
116,"XO Tour Llif3","Lil Uzi Vert",1912895,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
117,SUGAR,BROCKHAMPTON,1909700,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
118,"Truth Hurts",Lizzo,1901095,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
119,Moana,G-Eazy,1899161,https://open.spotify.com/track/1Tfxi7N3DW4zvAuVjt9g8X
120,"BELIEVE IT",PARTYNEXTDOOR,1893187,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
121,"Know Your Worth",Khalid,1880629,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
122,"rockstar (feat. 21 Savage)","Post Malone",1873939,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
123,"Qué Maldición","Banda MS de Sergio Lizárraga",1859666,https://open.spotify.com/track/2RxC2peY3FtrurYmbbmanr
124,"Moral of the Story",Ashe,1858878,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
125,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",1858108,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
126,"I Fall Apart","Post Malone",1856427,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
127,"Emotionally Scarred","Lil Baby",1840124,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm
128,STARGAZING,"Travis Scott",1832579,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
129,"Heartless (feat. Morgan Wallen)",Diplo,1832240,https://open.spotify.com/track/5mTL8ZHcB2LJdlrR78xJYr
130,"The Less I Know The Better","Tame Impala",1817050,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
131,"After Hours","The Weeknd",1806977,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
132,"bloody valentine","Machine Gun Kelly",1805667,https://open.spotify.com/track/1bWEngw5tAF7vWByrf5Oy5
133,VIBEZ,DaBaby,1800511,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
134,"PICK UP (feat. Quavo)",DaBaby,1798084,https://open.spotify.com/track/5gNOINI5dXZVom2b36LMOd
135,"Murder On My Mind","YNW Melly",1797899,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
136,"No Guidance (feat. Drake)","Chris Brown",1786364,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
137,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,1775404,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
138,Falling,"Harry Styles",1763217,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
139,EARFQUAKE,"Tyler, The Creator",1762847,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
140,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1750340,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
141,F.N,"Lil Tjay",1748524,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
142,"Social Distancing","Lil Baby",1745412,https://open.spotify.com/track/1RrQK0BIyxZaOooNDVSEaZ
143,Señorita,"Shawn Mendes",1734135,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
144,"This City","Sam Fischer",1732025,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
145,Physical,"Dua Lipa",1718686,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
146,"Gimme Love",Joji,1714298,https://open.spotify.com/track/2hfoyc7ve6xM4ZEiNIiU1B
147,"223's (feat. 9lokknine)","YNW Melly",1704389,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
148,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",1702153,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
149,"Going Bad (feat. Drake)","Meek Mill",1694722,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
150,"Pop Out (feat. Lil Tjay)","Polo G",1690524,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
151,"Armed And Dangerous","Juice WRLD",1687949,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
152,"Captain Hook","Megan Thee Stallion",1681577,https://open.spotify.com/track/1E3VQQWFQAPJkXfYHjqWoI
153,"Hate Me (with Juice WRLD)","Ellie Goulding",1680673,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
154,"Si Veo a Tu Mamá","Bad Bunny",1679004,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
155,"JUMP (feat. YoungBoy Never Broke Again)",DaBaby,1672229,https://open.spotify.com/track/0oT9ElXYSxvnOOagP9efDq
156,"BUTTERFLY EFFECT","Travis Scott",1664849,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
157,Speechless,"Dan + Shay",1653917,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
158,"When It Rains It Pours","Luke Combs",1649143,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
159,"Without Me",Halsey,1643852,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
160,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1637726,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
161,"Commercial (feat. Lil Uzi Vert)","Lil Baby",1637190,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
162,"Better Now","Post Malone",1634018,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
163,"Magic In The Hamptons (feat. Lil Yachty)","Social House",1632154,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
164,"Beer Can’t Fix","Thomas Rhett",1603387,https://open.spotify.com/track/7idmHTAQQPUFqdjXkoooXD
165,Maniac,"Conan Gray",1602107,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
166,"Lean Wit Me","Juice WRLD",1597627,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
167,"B.S. (feat. H.E.R.)","Jhené Aiko",1596958,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
168,Camelot,"NLE Choppa",1579973,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
169,"Eastside (with Halsey & Khalid)","benny blanco",1575220,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
170,"Tongue Tied",Grouplove,1574243,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
171,"All In","Lil Baby",1571713,https://open.spotify.com/track/0zlru783fmr588D5RY9ERU
172,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1569723,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
173,"Baby Pluto","Lil Uzi Vert",1566910,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
174,"One Man Band","Old Dominion",1566428,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
175,"7 rings","Ariana Grande",1561989,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
176,"The London (feat. J. Cole & Travis Scott)","Young Thug",1553843,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
177,"Out Of Love (feat. Internet Money)","Lil Tecca",1549955,https://open.spotify.com/track/7rTzrRdc5UbvLr0gwI1J3E
178,"Make No Sense","YoungBoy Never Broke Again",1548853,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
179,Moonlight,XXXTENTACION,1543308,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
180,"ocean eyes","Billie Eilish",1539840,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
181,"La Difícil","Bad Bunny",1539622,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
182,Tequila,"Dan + Shay",1537750,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
183,Hurricane,"Luke Combs",1534614,https://open.spotify.com/track/6xHI9KjUjYT0FPtGO8Mxa1
184,Legends,"Juice WRLD",1533636,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
185,Coffee,"Quinn XCII",1529566,https://open.spotify.com/track/1VbClJ27jcsMNmOxHnXlKV
186,"Beautiful People (feat. Khalid)","Ed Sheeran",1525469,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
187,"Eleven (feat. Summer Walker)",Khalid,1522046,https://open.spotify.com/track/18O00Y7yrkJ0pRXm1n21Og
188,"Body Like A Back Road","Sam Hunt",1506624,https://open.spotify.com/track/7FpBQ067pHB67deawpbbcY
189,Boyfriend,"Selena Gomez",1504214,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
190,"Beer Never Broke My Heart","Luke Combs",1502281,https://open.spotify.com/track/7aEtlGHoiPAfRB084NiDmx
191,Happier,Marshmello,1501719,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
192,Lalala,Y2K,1496021,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
193,"Wait a Minute!",WILLOW,1493828,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
194,"Baby (Lil Baby feat. DaBaby)","Quality Control",1490961,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
195,"Costa Rica","Bankrol Hayden",1484333,https://open.spotify.com/track/2iObjOsy2vpsariW4Y7hQg
196,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1480895,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
197,Dior,"Pop Smoke",1480188,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
198,"No Role Modelz","J. Cole",1479729,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
199,"Havin My Way (feat. Lil Durk)","Lil Skies",1477704,https://open.spotify.com/track/0oH0OIeKJSAT5bdFkbz20A
200,"Say You Won't Let Go","James Arthur",1469379,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
