,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Second Emotion (feat. Travis Scott)","Justin Bieber",3242692,https://open.spotify.com/track/1PnAx788sAvcI3ZxTlEyX8
54,"death bed (coffee for your head)",Powfu,3192575,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
55,"No Idea","Don Toliver",3190624,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
56,"Running Over (feat. Lil Dicky)","Justin Bieber",3167883,https://open.spotify.com/track/75nKBP8jQu681pTNCtrEnn
57,"when the party's over","Billie Eilish",3127140,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
58,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",3122236,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
59,"Know Your Worth",Khalid,3095344,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
60,"What A Man Gotta Do","Jonas Brothers",3084051,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
61,"Sum 2 Prove","Lil Baby",3083718,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
62,"Get Me (feat. Kehlani)","Justin Bieber",3067121,https://open.spotify.com/track/5VwwpU7KsLhgfbMEecedhJ
63,Suge,DaBaby,3020028,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
64,Heartless,"The Weeknd",3003634,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
65,Available,"Justin Bieber",2993077,https://open.spotify.com/track/1b6tPXXCV2fSNtR3SKWUQA
66,"Me and My Guitar","A Boogie Wit da Hoodie",2989201,https://open.spotify.com/track/6cZH4rX1KTt1aJ3Ql6Ynja
67,Memories,"Maroon 5",2957700,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
68,Run,Joji,2891532,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK
69,"ORANGE SODA","Baby Keem",2832876,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
70,"Money In The Grave (Drake ft. Rick Ross)",Drake,2830873,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
71,"Stain (feat. DaBaby)","A Boogie Wit da Hoodie",2783556,https://open.spotify.com/track/0dIz1I7IwX5ardG47AHxCZ
72,Ransom,"Lil Tecca",2738443,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
73,"Before You Go","Lewis Capaldi",2731155,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
74,"lovely (with Khalid)","Billie Eilish",2711470,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
75,Borderline,"Tame Impala",2702575,https://open.spotify.com/track/5hM5arv9KDbCHS0k9uqwjr
76,"Goodbyes (Feat. Young Thug)","Post Malone",2655561,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
77,"Truth Hurts",Lizzo,2636468,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
78,"MIDDLE CHILD","J. Cole",2630669,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
79,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,2587284,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
80,"223's (feat. 9lokknine)","YNW Melly",2584666,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
81,"All Girls Are The Same","Juice WRLD",2574722,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
82,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2572347,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
83,Wow.,"Post Malone",2568739,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
84,"Watermelon Sugar","Harry Styles",2554541,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
85,"Make No Sense","YoungBoy Never Broke Again",2533889,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
86,"One More Year","Tame Impala",2532589,https://open.spotify.com/track/5ozqshq2dtU7SYCpCBu0NE
87,Confirmation,"Justin Bieber",2511981,https://open.spotify.com/track/60brXKLTC15vK0av5gIldm
88,"King Of My City","A Boogie Wit da Hoodie",2505105,https://open.spotify.com/track/3o0nkjyy6eZL5lZcEpvJec
89,July,"Noah Cyrus",2497586,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
90,"Lose You To Love Me","Selena Gomez",2485502,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
91,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",2484357,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
92,Changes,"Justin Bieber",2454901,https://open.spotify.com/track/521Os1SMlxmsoevsqyjNmJ
93,"No Guidance (feat. Drake)","Chris Brown",2451347,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
94,"SLOW DANCING IN THE DARK",Joji,2442536,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
95,"Good News","Mac Miller",2438294,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
96,"Take It Out On Me","Justin Bieber",2430287,https://open.spotify.com/track/39nTNk5MfyiiRupTwn1iyC
97,Señorita,"Shawn Mendes",2416713,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
98,Physical,"Dua Lipa",2406160,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
99,E.T.A.,"Justin Bieber",2393312,https://open.spotify.com/track/6PzOPrXx8tJEqace76yrv2
100,"What If I Told You That I Love You","Ali Gatie",2378208,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
101,EARFQUAKE,"Tyler, The Creator",2331830,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
102,"Thug Love","A Boogie Wit da Hoodie",2321976,https://open.spotify.com/track/4MzhmCOgPB7xb87f1CXjlA
103,"me & ur ghost",blackbear,2304284,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
104,Rare,"Selena Gomez",2303692,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
105,"Murder On My Mind","YNW Melly",2303207,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
106,"Baby (Lil Baby feat. DaBaby)","Quality Control",2297636,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
107,"Start Wit Me (feat. Gunna)","Roddy Ricch",2295941,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
108,"Stuck In A Dream (feat. Gunna)","Lil Mosey",2275595,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
109,"Instant Destiny","Tame Impala",2259627,https://open.spotify.com/track/6WCXBUFa0z3l9DoOY3k5Xe
110,Camelot,"NLE Choppa",2258699,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
