,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Level of Concern","Twenty One Pilots",2910660,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
54,"CAN'T STOP",DaBaby,2758451,https://open.spotify.com/track/57crda5Lx9OVaYCzb4Wrnd
55,"Yo Perreo Sola","Bad Bunny",2710102,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
56,"SICKO MODE","Travis Scott",2685233,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
57,"More Than My Hometown","Morgan Wallen",2627370,https://open.spotify.com/track/6FniJZn4agmDtPx1pKZQsa
58,Robbery,"Juice WRLD",2624474,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
59,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",2601106,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
60,"Heart On Ice","Rod Wave",2575635,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
61,"CITY OF ANGELS",24kGoldn,2568166,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
62,"SAD SH*T",DaBaby,2563037,https://open.spotify.com/track/6ChpgWt7s2ksM1Y3l0D9sk
63,"DROP (feat. A Boogie wit da Hoodie & London On Da Track)",DaBaby,2543149,https://open.spotify.com/track/5rFGVn8fCFjnRwCebW0XbS
64,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",2541101,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
65,Selfish,"Madison Beer",2523880,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
66,"OUT WEST (feat. Young Thug)",JACKBOYS,2523199,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
67,Heartless,"The Weeknd",2514472,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
68,"TALK ABOUT IT",DaBaby,2441130,https://open.spotify.com/track/3QSLoxRguKgK0knOG7EGyn
69,"bad guy","Billie Eilish",2410026,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
70,Safaera,"Bad Bunny",2391813,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
71,Woah,"Lil Baby",2390937,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
72,"lovely (with Khalid)","Billie Eilish",2387495,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
73,Suicidal,"YNW Melly",2385158,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
74,goosebumps,"Travis Scott",2373925,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
75,"All Girls Are The Same","Juice WRLD",2365350,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
76,Skechers,DripReport,2364181,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
77,"10,000 Hours (with Justin Bieber)","Dan + Shay",2348311,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
78,"Before You Go","Lewis Capaldi",2300918,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
79,CHAMPION,DaBaby,2280564,https://open.spotify.com/track/19eeh4pgEGHdSTc26U1y89
80,"Lo Mein","Lil Uzi Vert",2277732,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
81,"Jocelyn Flores",XXXTENTACION,2229942,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
82,"After Hours","The Weeknd",2227438,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
