,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,12053320,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Rain On Me (with Ariana Grande)","Lady Gaga",11451945,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
3,"THE SCOTTS","THE SCOTTS",8748399,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
4,"Blinding Lights","The Weeknd",7619182,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Blueberry Faygo","Lil Mosey",7525365,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,"Party Girl",StaySolidRocky,6749121,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
7,"The Box","Roddy Ricch",6554738,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Toosie Slide",Drake,6553316,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
9,"WHATS POPPIN","Jack Harlow",5862814,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
10,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",5836416,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
11,"Roses - Imanbek Remix","SAINt JHN",5829617,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,GOOBA,6ix9ine,5184883,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
13,"After Party","Don Toliver",5182229,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
14,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4799738,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
15,"death bed (coffee for your head)",Powfu,4736900,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Life Is Good (feat. Drake)",Future,4664599,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
17,Righteous,"Juice WRLD",4654142,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
18,"Stuck with U (with Justin Bieber)","Ariana Grande",4653421,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
19,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,4609820,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
20,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4532585,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,Circles,"Post Malone",4482117,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
22,"Flex (feat. Juice WRLD)","Polo G",4403264,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
23,"Watermelon Sugar","Harry Styles",4398421,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
24,"Intentions (feat. Quavo)","Justin Bieber",4332318,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
25,"Chicago Freestyle (feat. Giveon)",Drake,4295972,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
26,"Don't Start Now","Dua Lipa",4289118,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
27,"Say So (feat. Nicki Minaj)","Doja Cat",4126186,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
28,"COOLER THAN A BITCH (feat. Roddy Ricch)",Gunna,4048554,https://open.spotify.com/track/5LHHKZOwV8XW4LJP2C64mw
29,ROXANNE,"Arizona Zervas",3848478,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
30,Supalonely,BENEE,3795512,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
31,"Say So","Doja Cat",3764389,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
32,Falling,"Trevor Daniel",3762309,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
33,goosebumps,"Travis Scott",3646345,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3584969,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,WUNNA,Gunna,3567534,https://open.spotify.com/track/0y7Ao3CVJsyKFmqdjutiIF
36,"Be Kind (with Halsey)",Marshmello,3558340,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
37,"HIGHEST IN THE ROOM","Travis Scott",3515050,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
38,"Break My Heart","Dua Lipa",3457731,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
39,"Adore You","Harry Styles",3426264,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
40,"Play Date","Melanie Martinez",3322497,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
41,"SICKO MODE","Travis Scott",3295470,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
42,"Ballin' (with Roddy Ricch)",Mustard,3240854,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
43,Myron,"Lil Uzi Vert",3194851,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
44,"Deep End Freestyle","Sleepy Hallow",3192998,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
45,"hot girl bummer",blackbear,3190010,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
46,"High Fashion (feat. Mustard)","Roddy Ricch",3161354,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
47,"Lucid Dreams","Juice WRLD",3156248,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
48,"Turks (with Gunna & ft. Travis Scott)",NAV,3152556,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
49,"ily (i love you baby) (feat. Emilee)","Surf Mesa",3137435,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
50,"Someone You Loved","Lewis Capaldi",2999310,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
51,"Solitaires (feat. Travis Scott)",Future,2974655,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
52,Savage,"Megan Thee Stallion",2925314,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
53,P2,"Lil Uzi Vert",2914033,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
54,PTSD,"G Herbo",2812420,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
55,"Dance Monkey","Tones And I",2734236,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
56,"Godzilla (feat. Juice WRLD)",Eminem,2727736,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
57,"Before You Go","Lewis Capaldi",2713754,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
58,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2710947,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
59,BOP,DaBaby,2703150,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
60,Robbery,"Juice WRLD",2692490,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
61,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2686442,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"TOP FLOOR (feat. Travis Scott)",Gunna,2635789,https://open.spotify.com/track/4YhJ3a6kBPGJWX4Ek77sDd
63,"Boss Bitch","Doja Cat",2581907,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
64,"Need It",Migos,2578996,https://open.spotify.com/track/6mtjo5kIHKlboGE84lf1FJ
65,"Yo Perreo Sola","Bad Bunny",2559115,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
66,"All Girls Are The Same","Juice WRLD",2461543,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
67,"That Way - Bonus Track","Lil Uzi Vert",2407521,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
68,"In Your Eyes (with Doja Cat) - Remix","The Weeknd",2394367,https://open.spotify.com/track/0UnTaVkntyh3vqvLEvbpQx
69,"everything i wanted","Billie Eilish",2392698,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
70,"Go Stupid","Polo G",2391110,https://open.spotify.com/track/4PklAHGXT5ityno3IA8SKd
71,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",2320432,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
72,Safaera,"Bad Bunny",2319318,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
73,"Lose Somebody",Kygo,2305163,https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3
74,"BLINDFOLD (feat. Lil Baby)",Gunna,2288025,https://open.spotify.com/track/02mYw61RoS1vXvkD9Q5dpN
75,"Broke In A Minute","Tory Lanez",2267857,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
76,"Whiskey Glasses","Morgan Wallen",2263431,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
77,"Be Something (feat. Lil Baby)","Polo G",2239377,https://open.spotify.com/track/65jw6GhwQW3Db55PxlPEpS
78,SKYBOX,Gunna,2238284,https://open.spotify.com/track/4jMPZl0GrSFgbogJ0C6sNG
79,"Jocelyn Flores",XXXTENTACION,2225296,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
80,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",2182783,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
81,Daisies,"Katy Perry",2168835,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
82,"Heartless (feat. Morgan Wallen)",Diplo,2156367,https://open.spotify.com/track/5mTL8ZHcB2LJdlrR78xJYr
83,"Chasin' You","Morgan Wallen",2141952,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
84,ARGENTINA,Gunna,2114775,https://open.spotify.com/track/4LkEHc33eXcXFQNwxruw7W
85,Ransom,"Lil Tecca",2107228,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
86,"10,000 Hours (with Justin Bieber)","Dan + Shay",2106324,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
87,"bad guy","Billie Eilish",2101482,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
88,"Money In The Grave (Drake ft. Rick Ross)",Drake,2088197,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
89,Daechwita,"Agust D",2080834,https://open.spotify.com/track/0H4ugk6rhnXmTl47ayy9O5
90,"I Hope","Gabby Barrett",2074806,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
91,"lovely (with Khalid)","Billie Eilish",2066373,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
92,"Beautiful Crazy","Luke Combs",2065565,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
93,SAD!,XXXTENTACION,2064058,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
94,"OUT WEST (feat. Young Thug)",JACKBOYS,2063100,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
95,Selfish,"Madison Beer",2063054,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
96,"More Than My Hometown","Morgan Wallen",2013409,https://open.spotify.com/track/6FniJZn4agmDtPx1pKZQsa
97,Memories,"Maroon 5",1993962,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
98,Woah,"Lil Baby",1993003,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
99,"SLOW DANCING IN THE DARK",Joji,1970589,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
100,"MIDDLE CHILD","J. Cole",1946765,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
101,"MET GALA",Gunna,1945629,https://open.spotify.com/track/4loM16743hROPC6uIJG6wM
102,"Pain 1993 (with Playboi Carti)",Drake,1945458,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
103,Wow.,"Post Malone",1941362,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
104,Suge,DaBaby,1929493,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
105,"...And To Those I Love, Thanks For Sticking Around",$uicideBoy$,1915801,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
106,July,"Noah Cyrus",1910809,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
