,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,10472301,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Party Girl",StaySolidRocky,7349537,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
3,"Blueberry Faygo","Lil Mosey",6620720,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
4,"Blinding Lights","The Weeknd",6612087,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Watermelon Sugar","Harry Styles",6028536,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
6,"THE SCOTTS","THE SCOTTS",5858743,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,"The Box","Roddy Ricch",5435062,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"The Bigger Picture","Lil Baby",5430966,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1
9,"WHATS POPPIN","Jack Harlow",5167067,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
10,"Toosie Slide",Drake,4997871,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"Roses - Imanbek Remix","SAINt JHN",4939057,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",4918488,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
13,"Rain On Me (with Ariana Grande)","Lady Gaga",4742174,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
14,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",4476811,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
15,"Tommy Lee (feat. Post Malone)","Tyla Yaweh",4472543,https://open.spotify.com/track/5QZKcQDp0tCcvMdyqEciBV
16,"After Party","Don Toliver",4403076,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
17,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4344142,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,VACATION,Tyga,4268189,https://open.spotify.com/track/6q2uIyLqASSpv2SIv2ehWK
19,"death bed (coffee for your head)",Powfu,4244003,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,"Intentions (feat. Quavo)","Justin Bieber",4121311,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,"GO (feat. Juice WRLD)","The Kid LAROI",3916805,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
22,Circles,"Post Malone",3813460,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,"Chicago Freestyle (feat. Giveon)",Drake,3805700,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
24,"Savage Love (Laxed - Siren Beat)","Jawsh 685",3721689,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
25,"We Paid (feat. 42 Dugg)","Lil Baby",3672506,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
26,"Life Is Good (feat. Drake)",Future,3604097,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
27,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3567449,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
28,"Flex (feat. Juice WRLD)","Polo G",3526419,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
29,"Don't Start Now","Dua Lipa",3518585,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
30,GOOBA,6ix9ine,3440732,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
31,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,3416178,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
32,"Stuck with U (with Justin Bieber)","Ariana Grande",3315786,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
33,"Adore You","Harry Styles",3296787,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
