,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",15981992,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"After Hours","The Weeknd",10284660,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
3,"Intentions (feat. Quavo)","Justin Bieber",8800978,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,"Blinding Lights","The Weeknd",8700003,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,"Life Is Good (feat. Drake)",Future,8568557,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
6,"Blueberry Faygo","Lil Mosey",8111330,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,ROXANNE,"Arizona Zervas",7283056,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
8,"High Fashion (feat. Mustard)","Roddy Ricch",6824444,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
9,"Don't Start Now","Dua Lipa",6515970,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,Circles,"Post Malone",6275245,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,Falling,"Trevor Daniel",6214855,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"Say So","Doja Cat",6040728,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"Dance Monkey","Tones And I",5759272,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"WHATS POPPIN","Jack Harlow",5740264,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
15,"No Time To Die","Billie Eilish",5614403,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
16,"Godzilla (feat. Juice WRLD)",Eminem,5552658,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
17,"everything i wanted","Billie Eilish",5545262,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
18,BOP,DaBaby,5423041,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
19,Suicidal,"YNW Melly",5327432,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
20,"Adore You","Harry Styles",5136668,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
21,"Ballin' (with Roddy Ricch)",Mustard,5084084,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
22,"Forever (feat. Post Malone & Clever)","Justin Bieber",4887760,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
23,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",4730571,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
24,"Sunday Best (Feeling Good, Like I Should)",Surfaces,4371743,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
25,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,4335706,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
26,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",4238666,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
27,"OUT WEST (feat. Young Thug)",JACKBOYS,4228799,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
28,Woah,"Lil Baby",4215744,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
29,"You should be sad",Halsey,4134200,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
30,"Moral of the Story",Ashe,4129688,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
31,ON,BTS,4106614,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
32,Yummy,"Justin Bieber",4083442,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
33,"Someone You Loved","Lewis Capaldi",4082096,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,"My Oh My (feat. DaBaby)","Camila Cabello",4063097,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
35,SUGAR,BROCKHAMPTON,4056221,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
36,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",4025977,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
37,"hot girl bummer",blackbear,3928349,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
38,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",3890025,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
39,"ON (Feat. Sia)",BTS,3825710,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
40,"death bed (coffee for your head)",Powfu,3797417,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
41,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,3604284,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
42,"To Die For","Sam Smith",3598773,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
43,"Feel Me","Selena Gomez",3581695,https://open.spotify.com/track/6XXYdF6pJR1K3wKvuxmu7n
44,"HIGHEST IN THE ROOM","Travis Scott",3469621,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
45,"bad guy","Billie Eilish",3406669,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
46,"Lucid Dreams","Juice WRLD",3367484,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,"10,000 Hours (with Justin Bieber)","Dan + Shay",3337749,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
48,Heartless,"The Weeknd",3333510,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
49,"Futsal Shuffle 2020","Lil Uzi Vert",3285836,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
50,Robbery,"Juice WRLD",3258879,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
51,Tusa,"KAROL G",3240736,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
52,VIBEZ,DaBaby,3203155,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
53,Ignorantes,"Bad Bunny",3165234,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
54,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",3152613,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
55,"Sum 2 Prove","Lil Baby",3148317,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
56,"Red Eye","YoungBoy Never Broke Again",3095714,https://open.spotify.com/track/3qHgGyJY4GpXNOK4WL4NSo
57,"No Idea","Don Toliver",3053538,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
58,"Know Your Worth",Khalid,2963648,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
59,"CITY OF ANGELS",24kGoldn,2941875,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
60,Suge,DaBaby,2928703,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
61,Filter,BTS,2908987,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
62,UGH!,BTS,2904858,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W
63,Memories,"Maroon 5",2884845,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
64,"when the party's over","Billie Eilish",2843820,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
65,"My Time",BTS,2841202,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
66,"Money In The Grave (Drake ft. Rick Ross)",Drake,2812877,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
67,Dior,"Pop Smoke",2771276,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
68,"Louder than bombs",BTS,2714038,https://open.spotify.com/track/3op7HNwLli54MBjFGzIlZO
69,"Black Swan",BTS,2707835,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
70,"ORANGE SODA","Baby Keem",2697353,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
71,"Make No Sense","YoungBoy Never Broke Again",2673958,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
72,"Goodbyes (Feat. Young Thug)","Post Malone",2667063,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
73,"Before You Go","Lewis Capaldi",2664855,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
74,"MIDDLE CHILD","J. Cole",2657455,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
75,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2652765,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
76,"What A Man Gotta Do","Jonas Brothers",2639624,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
77,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,2617579,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
78,Wow.,"Post Malone",2615121,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
79,Ransom,"Lil Tecca",2613658,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
80,"All Girls Are The Same","Juice WRLD",2593143,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
81,"Watermelon Sugar","Harry Styles",2578377,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
82,"lovely (with Khalid)","Billie Eilish",2569988,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,"00:00 (Zero O’Clock)",BTS,2541757,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
84,"Truth Hurts",Lizzo,2526406,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
85,"223's (feat. 9lokknine)","YNW Melly",2453460,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
86,"Modern Loneliness",Lauv,2434577,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
87,"No Guidance (feat. Drake)","Chris Brown",2386178,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
88,"SLOW DANCING IN THE DARK",Joji,2383833,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
89,Trust,"Brent Faiyaz",2378708,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
90,EARFQUAKE,"Tyler, The Creator",2334769,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
91,"Knocked Off","YoungBoy Never Broke Again",2333031,https://open.spotify.com/track/7MYFKS7XpVz1JQDK38pr8N
92,"Old Me","5 Seconds of Summer",2308787,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
93,"Baby (Lil Baby feat. DaBaby)","Quality Control",2304260,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
94,"We are Bulletproof : the Eternal",BTS,2291162,https://open.spotify.com/track/44WLOqH7QayQOQdeUHeKUK
95,"Lose You To Love Me","Selena Gomez",2289261,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
96,"Going Bad (feat. Drake)","Meek Mill",2287240,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
97,July,"Noah Cyrus",2286277,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
98,Señorita,"Shawn Mendes",2274846,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
99,"Lottery (Renegade)","K CAMP",2273960,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
100,"Murder On My Mind","YNW Melly",2271463,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
101,Friends,BTS,2270982,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
102,"Inner Child",BTS,2244386,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
103,"The Way","Trippie Redd",2234126,https://open.spotify.com/track/6CeZoh6Oemi28WQRpa004x
104,Physical,"Dua Lipa",2232033,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
105,"Jocelyn Flores",XXXTENTACION,2229536,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
