,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Sweater Weather","The Neighbourhood",2837429,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
54,Wonder,"Shawn Mendes",2832532,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
55,"7 Summers","Morgan Wallen",2819023,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
56,Runnin,"21 Savage",2778842,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
57,Robbery,"Juice WRLD",2761431,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
58,"Mr. Right Now (feat. Drake)","21 Savage",2749950,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
59,Circles,"Megan Thee Stallion",2643098,https://open.spotify.com/track/08TILUAN56HJoS1d9mNRty
60,"Fly To My Room",BTS,2622619,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
61,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",2611532,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
62,"The Box","Roddy Ricch",2598296,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
63,"POPSTAR (feat. Drake)","DJ Khaled",2595476,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
64,Circles,"Post Malone",2580045,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
65,"Blue & Grey",BTS,2576410,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
66,Telepathy,BTS,2566695,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
67,PRACTICE,DaBaby,2563900,https://open.spotify.com/track/4Z5FyQlevoHoa5FsIVKZju
68,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",2562271,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
69,"More Than My Hometown","Morgan Wallen",2501225,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
70,Dis-ease,BTS,2496347,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
71,"Sleigh Ride","The Ronettes",2493896,https://open.spotify.com/track/46UMwpkxyIwzqhsaONm4wf
72,"Took Her To The O","King Von",2463346,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW
73,"Mood Swings (feat. Lil Tjay)","Pop Smoke",2459082,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
74,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2439276,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
75,Mistletoe,"Justin Bieber",2438789,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
76,"Someone You Loved","Lewis Capaldi",2427965,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
77,"Feliz Navidad","José Feliciano",2390332,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
78,Daisy,Ashnikko,2342458,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
79,"Holly Jolly Christmas","Michael Bublé",2325001,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
80,"Whiskey Glasses","Morgan Wallen",2317321,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
81,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,2316919,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
82,Stay,BTS,2313486,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
83,"GO (feat. Juice WRLD)","The Kid LAROI",2297204,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
84,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",2282127,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
85,"Livin’ The Dream","Morgan Wallen",2260199,https://open.spotify.com/track/2L4YgbxxwmwafMqLIjSx8q
86,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",2254007,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
87,"A Holly Jolly Christmas - Single Version","Burl Ives",2252335,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
88,"Before You Go","Lewis Capaldi",2243132,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
89,"Girls in the Hood","Megan Thee Stallion",2230792,https://open.spotify.com/track/7yiSvALPjMrBLDDrbcDRNy
90,"Movie (feat. Lil Durk)","Megan Thee Stallion",2216891,https://open.spotify.com/track/7Ge141qhUeuglcOvgAkWBy
91,"motive (with Doja Cat)","Ariana Grande",2188153,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
92,"Smile (with The Weeknd)","Juice WRLD",2154191,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
